,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.12,3.79,4.42,3.86,4.47,4.1,0.9,1.39,0.97,0.77,1.7,0.95,0.52,0.88,0.89,0.74
e_1,2.45,1.12,5.13,5.09,4.85,3.96,1.33,1.61,0.9,0.99,1.19,0.94,0.74,2.09,1.04,0.73
c_1,5.41,3.69,1.12,6.03,4.27,3.96,1.26,1.45,0.54,1.53,0.88,1.03,0.67,0.89,0.86,0.81
d_1,5.18,5.84,4.92,1.11,5.15,4.82,1.26,0.82,2.27,0.83,0.86,0.77,0.65,0.88,0.78,0.44
b_1,5.85,6.42,2.93,5.79,1.13,7.15,1.75,1.74,1.21,1.99,1.16,2.93,0.84,1.14,1.27,0.76
a_1,9.18,7.56,11.68,10.93,4.15,1.14,2.58,2.63,1.62,1.94,1.86,2.85,1.62,1.83,3.79,1.45
h_1,14.6,15.82,14.18,14.54,13.41,14.75,1.79,4.54,3.38,3.67,3.8,3.17,3.41,3.17,2.87,2.58
g_1,20.12,21.31,19.4,18.23,22.6,14.64,3.91,1.76,3.62,3.88,4.0,3.34,1.84,2.87,3.48,3.49
d_0,18.65,10.66,19.74,26.61,25.4,17.06,5.91,6.2,2.45,3.83,3.9,3.69,2.96,3.83,3.75,3.33
c_0,20.71,21.44,42.73,10.0,25.86,26.56,6.23,6.26,5.55,2.22,4.35,3.88,2.98,3.69,4.21,2.56
f_0,37.1,18.83,23.44,19.64,22.42,16.9,6.0,3.63,4.14,4.7,2.14,4.62,3.12,3.17,4.99,1.84
b_0,24.07,24.05,33.1,19.3,41.59,20.43,7.75,6.63,4.66,2.35,4.32,2.22,3.6,3.95,4.92,3.17
h_0,28.73,28.02,27.23,24.44,28.14,27.75,11.58,9.39,5.55,4.78,5.31,4.54,5.42,5.03,4.36,3.3
e_0,45.67,50.84,30.14,28.45,31.89,28.6,7.9,8.67,7.48,5.4,3.28,7.22,4.46,2.5,6.21,3.49
a_0,32.98,33.9,34.1,37.5,36.79,61.97,10.82,8.14,5.74,5.8,6.9,3.05,4.37,5.53,2.6,4.32
g_0,40.94,35.95,35.17,27.27,35.87,46.48,7.75,16.1,8.65,6.54,7.89,7.53,3.95,6.56,6.42,8.44
