,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.8,0.83,1.09,0.76,0.74,0.5,0.65,0.46,0.36,0.43,0.42,0.39,0.37,0.34,0.39
f_1,1.26,1.0,0.84,0.89,0.81,0.63,0.45,0.39,0.49,0.4,0.33,0.32,0.32,0.27,0.3,0.21
d_1,1.2,1.19,1.0,0.79,0.79,0.7,0.51,0.45,0.33,0.58,0.43,0.4,0.34,0.35,0.29,0.34
c_1,0.92,1.12,1.24,1.0,1.27,0.7,0.55,0.31,0.46,0.37,0.36,0.37,0.31,0.34,0.28,0.32
b_1,1.29,1.24,1.27,0.8,1.0,1.41,0.62,0.46,0.55,0.47,0.49,0.54,0.38,0.5,0.39,0.42
a_1,1.35,1.6,1.43,1.41,0.71,1.0,0.77,0.61,0.61,0.59,0.68,0.6,0.5,0.49,0.62,0.46
h_1,2.04,2.33,1.97,1.76,1.64,1.27,1.0,0.81,0.94,0.76,0.72,0.72,0.64,0.66,0.68,0.63
d_0,1.56,2.51,2.24,3.22,2.27,1.61,1.24,1.0,1.08,0.7,0.92,0.87,0.79,0.74,0.77,0.73
g_1,2.16,1.99,3.07,2.18,1.8,1.59,1.05,0.89,1.0,1.07,0.96,1.21,0.84,0.61,0.85,0.81
c_0,2.82,2.38,1.69,2.75,1.92,1.68,1.28,1.45,0.96,1.0,1.32,1.03,0.9,0.99,0.97,0.71
b_0,2.34,3.13,2.32,2.79,2.12,1.34,1.36,1.17,1.03,0.74,1.0,0.96,1.3,0.85,0.79,0.83
f_0,2.31,3.09,2.47,2.57,2.03,1.7,1.37,1.12,0.82,0.97,1.03,1.0,0.96,0.94,0.72,1.25
a_0,2.62,3.16,2.85,3.4,2.76,2.0,1.57,1.36,1.16,1.07,0.79,1.01,1.0,0.98,0.85,1.02
h_0,2.7,3.61,2.78,2.94,2.08,2.01,1.55,1.38,1.66,1.01,1.17,1.08,1.02,1.0,1.11,0.84
g_0,2.97,3.31,3.62,3.44,2.5,1.61,1.5,1.28,1.14,1.01,1.21,1.36,1.21,0.9,1.0,0.89
e_0,2.79,4.51,3.13,3.06,2.69,2.07,1.61,1.36,1.22,1.29,1.23,0.87,1.04,1.16,1.05,1.0
