,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.41,0.65,0.61,0.52,0.6,0.54,0.26,0.3,0.26,0.32,0.24,0.28,0.19,0.24,0.23,0.25
e_1,0.43,0.41,0.75,0.59,0.63,0.61,0.31,0.33,0.28,0.32,0.28,0.34,0.25,0.32,0.28,0.23
c_1,0.61,0.48,0.38,0.68,0.72,0.59,0.33,0.19,0.28,0.3,0.24,0.25,0.23,0.25,0.24,0.23
d_1,0.65,0.66,0.59,0.38,0.55,0.52,0.29,0.33,0.28,0.24,0.29,0.25,0.22,0.22,0.27,0.16
b_1,0.67,0.59,0.39,0.67,0.36,0.7,0.33,0.25,0.33,0.36,0.35,0.28,0.25,0.25,0.25,0.23
a_1,0.68,0.65,0.52,0.67,0.35,0.31,0.38,0.32,0.31,0.34,0.41,0.29,0.23,0.28,0.39,0.26
h_1,0.61,0.59,0.56,0.58,0.54,0.44,0.23,0.26,0.23,0.32,0.25,0.25,0.24,0.26,0.26,0.22
d_0,0.52,0.41,0.68,0.67,0.65,0.51,0.34,0.23,0.26,0.33,0.28,0.28,0.23,0.28,0.24,0.26
c_0,0.64,0.6,0.76,0.4,0.57,0.52,0.34,0.32,0.22,0.32,0.32,0.26,0.22,0.25,0.28,0.2
g_1,0.6,0.57,0.55,0.61,0.54,0.46,0.24,0.25,0.24,0.2,0.25,0.27,0.18,0.25,0.29,0.22
b_0,0.62,0.54,0.73,0.46,0.64,0.46,0.29,0.28,0.16,0.3,0.2,0.24,0.22,0.27,0.28,0.21
f_0,0.69,0.54,0.57,0.61,0.53,0.45,0.29,0.25,0.27,0.22,0.27,0.2,0.22,0.27,0.26,0.16
h_0,0.59,0.52,0.57,0.53,0.56,0.51,0.35,0.28,0.25,0.32,0.24,0.26,0.23,0.24,0.22,0.23
e_0,0.72,0.58,0.51,0.62,0.53,0.51,0.28,0.23,0.25,0.26,0.25,0.16,0.23,0.18,0.24,0.2
a_0,0.6,0.52,0.68,0.51,0.74,0.56,0.28,0.28,0.21,0.28,0.16,0.24,0.22,0.26,0.17,0.2
g_0,0.57,0.57,0.58,0.58,0.54,0.54,0.26,0.25,0.24,0.33,0.24,0.26,0.18,0.22,0.24,0.23
