,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.09,1.13,1.18,1.64,3.18,17.96,22.39,37.52,32.58,41.35,50.54,72.95,91.75,98.84,95.3
e_1,0.9,1.0,0.82,1.51,1.65,3.46,23.84,33.21,30.09,43.23,41.78,56.08,68.27,104.14,106.26,120.98
f_1,0.89,1.22,1.0,1.15,1.29,3.03,15.64,24.22,21.84,24.93,32.14,47.03,48.3,83.12,82.53,89.63
c_1,0.86,0.66,0.87,1.0,1.81,2.56,16.5,24.75,20.49,16.78,20.04,33.96,53.7,86.83,72.55,97.11
b_1,0.61,0.61,0.78,0.55,1.0,3.09,10.22,16.84,18.6,18.89,22.97,33.58,43.39,66.44,47.68,62.43
a_1,0.32,0.29,0.33,0.4,0.32,1.0,5.86,8.26,8.85,8.95,13.01,17.88,23.42,25.84,47.46,32.53
h_1,0.05,0.04,0.06,0.06,0.09,0.18,1.0,1.95,1.55,1.44,1.8,2.72,3.5,6.31,5.69,6.08
g_1,0.05,0.03,0.04,0.04,0.06,0.12,0.52,1.0,0.91,0.86,1.19,2.03,1.88,3.47,3.69,3.96
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.65,1.13,1.0,1.2,1.79,1.8,2.68,3.42,4.19,3.85
d_0,0.03,0.02,0.04,0.06,0.06,0.11,0.69,1.2,0.8,1.0,1.08,1.7,2.28,3.54,3.72,3.97
b_0,0.02,0.03,0.03,0.05,0.04,0.07,0.54,0.81,0.55,0.92,1.0,1.29,1.91,2.63,4.74,2.82
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.38,0.5,0.57,0.61,0.76,1.0,1.53,1.49,1.92,2.97
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.29,0.52,0.38,0.43,0.53,0.66,1.0,1.81,1.26,1.65
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.3,0.29,0.28,0.34,0.69,0.54,1.0,1.02,1.16
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.18,0.28,0.23,0.28,0.23,0.51,0.84,0.99,1.0,1.09
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.24,0.25,0.26,0.35,0.35,0.64,0.86,0.98,1.0
