,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.92,1.08,0.95,1.02,0.99,1.12,1.44,1.05,1.11,1.2,1.04,1.18,1.08,1.43
f_1,1.21,1.0,0.98,0.98,0.88,1.04,0.93,1.16,0.99,0.86,0.97,0.89,0.99,0.76,1.16,0.72
d_1,1.08,1.02,1.0,0.93,0.98,1.0,1.07,0.85,0.89,1.26,1.11,0.94,0.94,0.99,0.82,0.9
c_1,0.94,1.02,1.08,1.0,1.38,0.76,0.99,0.88,0.72,0.85,0.81,0.9,0.97,1.05,1.09,0.97
b_1,1.04,1.14,1.02,0.72,1.0,1.43,0.94,0.97,0.93,1.01,1.0,1.09,0.98,1.01,0.9,0.89
a_1,0.99,0.97,1.01,1.32,0.7,1.0,1.34,1.0,1.06,0.97,1.01,0.99,1.02,1.11,1.05,1.21
h_1,1.01,1.09,0.96,1.01,1.1,0.72,1.0,1.16,1.01,1.05,1.03,0.92,0.96,1.1,1.18,1.02
g_1,0.9,0.9,1.14,1.11,0.99,1.0,0.87,1.0,0.89,1.03,0.89,1.15,0.93,0.83,0.89,1.09
d_0,0.69,1.02,1.11,1.35,1.0,0.93,1.0,1.15,1.0,0.82,0.98,1.04,0.94,1.09,0.99,1.09
c_0,0.9,1.2,0.78,1.18,0.92,1.01,0.95,1.01,1.17,1.0,1.39,1.09,1.11,1.13,0.94,0.99
b_0,0.93,1.03,0.9,1.27,1.05,0.97,0.99,1.14,0.98,0.71,1.0,1.05,1.37,1.14,1.13,1.04
f_0,0.8,1.1,1.09,1.09,0.99,0.97,1.13,0.86,0.97,0.93,0.96,1.0,1.04,1.14,0.76,1.44
a_0,0.96,1.01,1.1,1.0,1.01,0.93,1.04,1.12,1.04,0.85,0.79,0.98,1.0,0.88,1.02,1.12
h_0,0.86,1.28,1.02,0.97,0.99,0.88,0.9,1.2,0.91,0.89,0.91,0.87,1.07,1.01,1.12,0.92
g_0,0.9,0.9,1.24,0.9,1.08,0.92,0.86,1.14,1.02,1.0,0.87,1.28,0.95,0.92,1.0,1.03
e_0,0.76,1.4,1.09,1.1,1.03,0.87,1.02,0.91,0.91,1.0,0.93,0.7,0.9,0.96,0.93,1.0
