,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.36,1.07,0.95,1.37,1.23,1.12,2.04,4.18,2.24,2.27,2.93,3.0,2.26,3.03,1.72,3.28
f_1,1.68,2.43,1.16,1.06,0.99,0.89,1.78,2.11,2.15,2.44,2.28,1.41,2.58,2.83,2.0,2.74
d_1,1.23,1.13,2.53,0.96,1.01,1.1,2.4,1.57,2.06,3.96,2.87,2.48,2.65,3.24,3.09,2.94
c_1,1.0,1.15,1.16,2.57,1.77,1.19,2.23,2.03,1.84,1.21,2.03,2.34,2.27,3.25,2.48,3.44
b_1,0.94,1.21,1.34,1.01,2.76,1.85,2.09,2.52,2.32,2.33,1.14,2.65,2.11,3.09,2.97,2.43
a_1,1.2,1.3,0.99,1.31,0.98,3.34,2.43,2.08,2.34,2.51,2.96,2.68,1.44,2.92,2.36,2.78
h_1,1.31,1.69,1.27,1.16,1.21,1.08,3.96,2.48,2.51,2.28,2.48,2.49,2.79,2.45,2.62,4.1
d_0,1.0,1.26,0.88,2.13,1.26,1.33,2.33,3.95,2.64,2.13,3.02,2.72,2.75,3.66,2.51,3.26
g_1,1.08,0.99,1.76,1.35,1.14,1.04,2.49,2.42,4.53,3.06,2.6,3.98,3.06,3.22,3.05,2.97
c_0,1.25,1.38,1.23,1.1,0.93,1.04,2.84,3.02,2.61,4.06,4.89,3.02,3.19,3.5,2.89,4.05
b_0,1.13,1.52,1.16,1.41,0.89,1.05,2.82,2.63,2.78,2.19,4.25,2.94,5.02,3.61,2.87,3.53
f_0,0.9,0.97,1.51,1.51,1.21,1.29,2.72,2.88,2.31,2.91,3.06,4.44,3.37,3.66,5.55,3.61
a_0,1.43,1.17,1.21,1.46,1.37,0.93,2.8,2.72,2.34,2.42,2.1,2.74,4.84,3.56,2.92,2.95
h_0,1.29,1.66,1.31,1.22,1.19,1.09,1.72,2.59,3.0,2.67,2.56,2.75,2.74,2.59,2.57,4.62
e_0,0.76,1.47,1.38,1.36,1.25,1.6,2.57,2.68,2.62,3.24,3.42,2.42,2.87,3.85,4.92,3.58
g_0,1.15,1.15,1.74,1.17,1.45,1.04,2.32,2.37,1.69,2.31,2.89,3.75,2.84,3.1,2.98,2.56
