,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,1.11,1.87,2.16,2.55,1.81,0.55,0.43,0.62,0.4,0.43,0.58,0.36,0.28,1.37,0.31
f_1,1.78,0.44,1.98,2.04,1.92,1.79,0.38,0.44,0.69,0.35,0.31,0.99,0.46,0.2,0.4,0.34
d_1,2.58,2.04,0.42,2.21,1.72,2.49,0.61,1.04,0.39,0.37,0.48,0.32,0.42,0.28,0.33,0.19
c_1,1.7,2.34,2.69,0.41,2.04,1.68,0.71,0.24,0.58,0.84,0.42,0.37,0.4,0.33,0.4,0.31
b_1,2.22,2.68,2.54,1.26,0.39,2.27,0.71,0.52,0.77,0.7,1.26,0.51,0.52,0.39,0.43,0.29
a_1,2.78,3.71,3.1,2.43,1.46,0.32,0.88,0.62,1.06,0.67,0.7,0.58,1.42,0.47,0.44,0.56
h_1,3.42,3.59,3.06,3.25,3.39,2.76,0.33,0.75,0.86,0.63,0.59,0.57,0.57,0.89,0.56,0.48
d_0,1.89,4.04,7.92,3.98,4.17,4.82,1.23,0.39,1.15,0.73,0.7,0.66,0.91,0.61,0.84,0.68
g_1,3.64,3.92,3.37,4.81,3.91,3.5,1.0,0.75,0.3,0.75,0.62,0.74,0.86,0.38,0.69,0.99
c_0,4.26,3.92,2.02,9.71,4.64,4.0,1.29,1.09,0.94,0.38,0.89,0.74,0.89,0.53,0.66,0.74
b_0,3.44,4.65,3.48,5.42,9.7,3.65,1.22,0.72,1.07,0.42,0.37,0.77,1.01,0.68,0.66,0.55
f_0,3.63,12.01,3.96,4.4,4.35,3.87,1.3,0.89,0.7,0.82,0.81,0.36,0.88,0.57,0.91,0.37
a_0,5.04,4.46,3.75,5.04,6.78,9.86,1.26,1.09,1.19,0.84,0.46,0.85,0.32,0.67,0.92,0.69
h_0,4.78,4.57,4.24,4.54,4.84,4.72,2.23,0.93,1.15,0.91,0.9,0.85,0.96,1.16,0.75,0.68
e_0,9.41,6.86,3.42,5.57,4.03,5.12,1.46,1.34,1.21,1.02,1.15,0.47,0.98,0.79,0.34,0.74
g_0,4.99,6.76,4.39,4.29,5.94,6.28,1.08,1.23,2.06,1.05,1.02,0.81,1.32,0.52,0.93,1.3
