,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,24.01,0.64,0.29,0.31,0.35,0.35,0.89,0.78,0.92,0.77,0.18,0.77,0.79,0.54,0.79,0.61
e_1,0.38,24.24,0.4,0.3,0.29,0.4,0.68,0.57,1.5,0.75,0.91,0.83,0.82,0.21,0.79,0.87
c_1,0.34,0.3,25.76,0.31,0.72,0.24,0.8,0.73,0.74,0.21,0.83,0.44,1.06,1.0,0.72,1.05
d_1,0.39,0.31,0.28,28.44,0.35,0.21,0.76,0.74,0.21,1.87,0.81,0.84,1.05,0.72,0.64,0.99
b_1,0.32,0.32,0.41,0.29,31.21,0.81,0.78,0.6,0.71,0.67,0.72,0.16,0.76,0.8,0.7,0.76
a_1,0.34,0.39,0.36,0.33,0.29,49.63,0.66,0.75,0.72,0.5,0.9,0.98,0.77,1.15,0.19,0.61
h_1,0.87,0.59,0.7,0.65,0.57,0.64,9.42,1.74,1.3,1.26,1.56,1.32,0.47,1.62,1.04,1.95
g_1,0.57,0.46,0.51,1.2,0.54,0.6,1.05,12.53,1.35,1.33,2.6,1.82,1.11,1.23,1.6,0.59
d_0,0.6,0.68,1.4,0.17,0.56,0.78,1.43,1.3,4.62,1.24,1.72,1.6,1.53,1.51,1.96,1.57
c_0,0.93,0.68,0.28,0.78,0.38,0.6,1.25,1.36,1.64,5.79,1.89,3.8,2.02,1.7,1.85,2.17
f_0,0.17,0.55,0.82,0.9,0.69,0.72,1.07,1.14,1.73,1.59,6.64,1.96,1.82,3.63,1.08,1.51
b_0,0.65,0.7,0.71,1.0,0.15,0.5,1.22,1.47,1.59,1.37,1.2,7.11,2.16,1.22,4.38,1.63
h_0,0.82,0.5,0.67,0.78,0.61,0.53,0.52,1.9,1.53,1.33,1.47,1.56,0.89,1.75,2.05,2.42
e_0,0.87,0.16,0.65,0.79,0.67,0.49,1.28,1.68,1.24,2.08,1.74,2.45,1.64,9.16,2.27,2.09
a_0,0.7,0.6,0.8,0.94,0.5,0.24,1.53,1.34,1.12,1.59,1.32,1.86,1.94,1.39,9.19,1.68
g_0,0.61,0.61,0.54,1.24,0.62,0.58,1.05,0.36,1.15,1.13,2.3,1.66,1.52,2.17,1.22,0.64
