,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.01,1.33,1.48,1.64,2.51,15.22,27.39,29.81,39.27,48.14,45.19,73.21,94.84,96.18,90.89
d_1,0.99,1.0,1.04,1.16,1.43,2.44,16.06,22.35,34.71,35.37,46.02,47.14,67.38,98.27,86.71,94.31
e_1,0.75,0.95,1.0,1.54,1.52,2.45,15.85,30.11,28.7,43.36,42.25,51.17,76.41,84.48,97.31,95.27
c_1,0.67,0.86,0.65,1.0,1.62,1.99,11.83,19.97,18.93,18.42,25.0,31.74,49.49,59.78,72.74,76.34
b_1,0.61,0.66,0.67,0.65,1.0,2.3,10.82,16.88,19.02,19.9,29.77,30.6,45.58,51.79,57.6,65.45
a_1,0.4,0.41,0.41,0.49,0.44,1.0,6.71,11.27,11.07,12.69,21.74,17.04,28.96,36.69,36.79,36.57
h_1,0.07,0.06,0.06,0.08,0.09,0.15,1.0,1.72,1.75,2.03,2.46,2.62,4.26,5.18,6.54,5.68
g_1,0.04,0.04,0.03,0.05,0.06,0.09,0.57,1.0,1.1,1.1,1.69,2.0,2.57,3.16,3.4,4.08
c_0,0.03,0.03,0.03,0.06,0.05,0.09,0.57,0.91,1.0,1.36,2.11,1.72,2.55,3.76,3.14,3.85
d_0,0.02,0.03,0.02,0.06,0.05,0.08,0.48,0.89,0.67,1.0,1.21,1.36,2.12,2.56,2.79,3.32
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.4,0.57,0.49,0.79,1.0,1.03,1.68,3.01,2.2,2.33
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.38,0.49,0.58,0.75,0.91,1.0,1.53,1.84,1.81,3.1
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.4,0.39,0.47,0.63,0.65,1.0,1.19,1.56,1.37
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.31,0.26,0.39,0.36,0.54,0.81,1.0,1.02,1.28
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.29,0.31,0.37,0.44,0.56,0.61,1.0,1.0,1.12
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.27,0.31,0.45,0.33,0.72,0.86,0.89,1.0
