,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.75,0.96,0.94,0.47,0.56,0.55,0.46,0.49,0.36,0.38,0.33,0.32,,0.33
d_1,1.28,1.0,1.08,0.87,0.87,0.66,0.49,,0.34,0.51,0.37,0.47,0.29,0.35,0.38,0.3
f_1,1.34,0.92,1.0,1.03,0.87,0.73,0.38,0.48,0.44,0.38,0.47,,0.33,0.42,0.31,0.33
c_1,1.05,1.15,0.97,1.0,1.4,0.71,0.55,0.36,0.45,,0.35,0.39,0.35,0.28,0.41,0.43
b_1,1.06,1.16,1.15,0.72,1.0,1.26,0.58,0.51,0.59,0.51,,0.45,0.42,0.36,0.4,0.32
a_1,2.14,1.51,1.37,1.4,0.79,1.0,0.61,0.46,0.62,0.62,,0.45,0.45,,,0.4
h_1,1.8,2.05,2.61,1.81,1.72,1.65,1.0,0.79,1.17,0.86,0.78,0.8,,0.65,0.58,0.53
d_0,1.81,,2.09,2.74,1.97,2.19,1.27,1.0,0.94,0.94,1.01,0.77,0.81,0.67,0.49,0.72
g_1,2.16,2.94,2.29,2.24,1.68,1.6,0.86,1.06,1.0,0.83,0.91,1.1,0.59,0.76,0.78,
c_0,2.04,1.97,2.66,,1.97,1.61,1.16,1.07,1.2,1.0,1.07,0.87,1.17,0.58,0.6,0.63
b_0,2.75,2.68,2.11,2.86,,,1.29,0.99,1.1,0.94,1.0,0.98,0.97,1.38,0.61,0.74
f_0,2.61,2.14,,2.59,2.23,2.25,1.25,1.29,0.91,1.15,1.02,1.0,0.87,0.9,1.2,0.72
h_0,3.04,3.47,3.01,2.9,2.36,2.21,,1.24,1.71,0.86,1.03,1.15,,0.83,0.96,1.12
a_0,3.09,2.87,2.41,3.56,2.8,,1.54,1.48,1.31,1.73,0.73,1.12,1.2,1.0,,
e_0,,2.63,3.24,2.44,2.51,,1.72,2.03,1.28,1.67,1.64,0.84,1.04,,1.0,0.99
g_0,3.03,3.36,3.01,2.34,3.16,2.51,1.9,1.4,,1.59,1.34,1.4,0.9,,1.01,
