,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.67,1.33,2.13,2.41,2.08,1.61,1.01,0.83,0.7,1.01,0.78,0.79,0.69,1.84,0.78,0.76
f_1,2.35,0.67,1.9,1.79,1.91,1.93,0.71,0.98,0.8,0.71,1.12,0.78,0.52,0.64,0.68,0.63
d_1,2.55,2.21,0.65,2.14,2.21,1.8,0.99,0.62,0.81,1.6,0.84,0.79,0.61,0.64,0.41,0.52
c_1,1.86,2.33,2.3,0.64,2.73,2.12,1.04,1.12,1.16,0.48,0.68,0.7,0.63,0.59,0.64,0.71
b_1,2.3,2.7,2.33,1.42,0.62,2.37,1.05,1.32,0.97,0.83,0.85,1.59,0.75,0.87,0.64,0.94
a_1,3.61,2.81,2.46,2.54,1.61,0.58,1.28,1.02,0.89,0.83,0.95,1.0,0.63,0.95,0.81,1.72
h_1,2.55,3.1,2.65,2.55,2.45,2.23,0.59,1.44,1.03,1.01,0.9,0.95,1.2,0.82,0.85,0.92
g_1,2.8,2.9,3.33,2.85,2.5,2.7,0.95,0.57,1.0,1.07,1.24,0.99,0.7,0.88,1.06,1.03
c_0,3.2,2.85,1.86,7.22,2.75,2.82,1.39,1.3,0.66,1.28,1.33,1.3,0.96,0.91,0.86,1.23
d_0,1.62,3.3,4.6,3.55,2.99,3.27,1.31,1.53,1.16,0.68,1.02,1.11,0.8,1.09,0.89,1.11
f_0,2.6,5.86,2.99,3.48,2.62,2.98,1.4,0.91,0.97,1.09,0.63,1.06,0.88,1.14,0.66,0.96
b_0,2.59,2.92,2.78,3.58,5.99,3.29,1.4,1.28,0.71,1.19,1.03,0.62,0.99,1.28,0.97,1.17
h_0,3.05,3.57,3.24,3.17,3.27,3.28,2.78,1.94,1.22,1.46,1.36,1.27,1.6,1.14,1.06,1.22
e_0,5.03,4.69,3.76,3.8,2.76,3.62,1.56,1.67,1.02,1.2,0.71,1.06,1.1,0.58,0.76,1.24
g_0,3.14,3.96,3.93,3.45,3.69,3.25,1.47,2.5,1.27,1.34,1.29,1.19,0.85,1.46,1.38,1.18
a_0,3.33,4.11,4.86,3.66,3.19,5.96,1.57,1.54,1.15,1.4,1.18,0.74,1.02,1.44,1.22,0.59
