,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.95,0.52,0.41,0.34,0.38,0.33,0.29,0.25,0.22,0.47,0.31,0.27,0.28,0.23,0.21,0.2
f_1,0.45,0.95,0.73,0.42,0.34,0.24,0.28,0.27,0.29,0.26,0.24,0.15,0.23,0.19,0.24,0.11
e_1,0.46,0.42,0.95,0.46,0.42,0.3,0.34,0.26,0.47,0.31,0.3,0.26,0.25,0.21,0.21,0.12
c_1,0.53,0.46,0.44,0.94,0.64,0.27,0.34,0.3,0.26,0.14,0.21,0.29,0.29,0.2,0.2,0.19
b_1,0.54,0.52,0.5,0.4,0.94,0.54,0.29,0.26,0.3,0.28,0.2,0.29,0.26,0.22,0.26,0.2
a_1,0.58,0.59,0.52,0.53,0.37,0.94,0.41,0.39,0.35,0.34,0.38,0.3,0.32,0.2,0.3,0.25
h_1,0.81,0.98,0.64,0.68,0.6,0.4,0.76,0.57,0.46,0.4,0.39,0.35,0.36,0.33,0.41,0.32
g_1,1.07,0.75,0.69,0.69,0.66,0.4,0.44,0.75,0.42,0.48,0.44,0.53,0.4,0.3,0.23,0.33
d_0,0.66,0.79,0.65,1.19,0.64,0.46,0.53,0.48,0.67,0.42,0.49,0.33,0.44,0.28,0.36,0.38
c_0,0.76,0.91,0.75,0.66,0.59,0.49,0.62,0.46,0.57,0.65,0.79,0.42,0.47,0.41,0.35,0.38
b_0,0.89,0.99,0.77,0.84,0.49,0.46,0.59,0.46,0.45,0.42,0.68,0.38,0.49,0.56,0.44,0.29
f_0,0.93,0.77,0.75,0.69,0.69,0.56,0.56,0.44,0.58,0.56,0.54,0.66,0.46,0.43,0.38,0.7
h_0,0.96,1.23,0.93,0.7,0.69,0.45,0.41,0.6,0.48,0.53,0.55,0.44,0.41,0.37,0.52,0.29
a_0,0.87,1.07,0.94,0.85,0.73,0.32,0.63,0.53,0.65,0.61,0.5,0.42,0.56,0.64,0.44,0.33
g_0,1.31,0.81,0.87,0.89,0.69,0.47,0.49,0.48,0.49,0.61,0.57,0.68,0.48,0.41,0.37,0.41
e_0,1.1,1.19,0.79,0.8,0.82,0.58,0.59,0.55,0.51,0.53,0.69,0.38,0.61,0.42,0.43,0.62
