,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.72,1.45,1.62,1.73,1.33,0.48,0.48,0.63,0.44,0.45,0.48,0.29,0.37,0.37,0.39
e_1,1.29,1.05,1.61,1.84,1.52,1.42,0.73,0.64,0.64,0.56,0.43,0.57,0.42,0.47,0.66,0.42
d_1,2.07,1.99,1.05,1.74,1.53,1.38,0.62,0.8,0.45,0.6,0.47,0.41,0.41,0.42,0.42,0.26
c_1,1.81,1.62,2.51,1.05,1.95,1.43,0.74,0.37,0.67,0.62,0.5,0.5,0.42,0.44,0.5,0.39
b_1,2.09,2.39,2.32,1.39,1.06,2.27,0.9,0.62,0.74,0.71,0.8,0.53,0.48,0.52,0.46,0.44
a_1,3.1,2.85,2.69,3.03,1.44,1.07,1.17,0.92,1.09,0.85,1.08,0.79,0.61,1.13,0.79,0.64
h_1,5.28,4.29,4.57,4.59,4.22,3.64,1.28,1.42,2.0,1.35,1.25,1.2,1.16,1.08,1.14,1.04
d_0,5.64,3.66,6.6,6.35,6.22,4.91,2.28,1.39,2.13,1.79,1.43,1.66,1.29,1.49,1.55,1.34
g_1,6.01,5.79,6.13,5.79,5.17,4.26,1.64,1.83,1.3,1.47,1.58,1.53,1.08,1.49,1.32,1.14
c_0,6.89,6.17,3.78,7.95,5.9,4.81,2.41,2.4,2.25,1.39,1.82,1.55,1.33,1.52,1.38,1.19
b_0,7.65,7.01,5.9,8.23,8.06,4.96,2.7,2.29,2.38,1.35,1.45,1.85,1.43,1.88,1.67,1.35
f_0,11.17,7.02,7.66,8.27,7.7,5.23,3.1,2.25,1.96,2.19,2.14,1.51,1.67,1.76,2.04,1.14
h_0,10.84,8.53,7.39,8.02,7.97,6.38,3.63,2.67,3.16,2.49,2.34,1.94,2.07,2.04,2.19,1.76
a_0,11.72,8.8,7.5,9.52,9.76,7.22,3.86,2.93,3.16,2.27,1.56,2.34,1.92,1.56,2.45,1.71
e_0,11.93,9.77,8.23,9.12,9.41,6.26,3.36,2.39,2.98,2.47,2.33,1.46,1.74,2.3,1.52,1.9
g_0,10.18,9.34,10.94,10.24,9.78,7.8,3.16,2.92,4.3,2.94,2.85,2.71,1.91,2.74,2.28,2.24
