,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.92,1.24,0.98,0.87,1.08,1.07,1.41,1.0,1.02,1.13,1.1,1.27,1.02,1.14
f_1,1.2,1.0,0.98,0.96,0.94,0.95,0.85,1.11,0.91,0.82,0.99,0.76,0.87,0.86,0.84,1.12
d_1,1.08,1.02,1.0,0.93,0.93,1.03,0.92,0.87,1.09,1.39,1.09,0.97,1.0,0.91,1.05,0.8
c_1,0.82,1.04,1.07,1.0,1.43,1.0,1.01,1.02,0.71,0.76,0.78,0.98,1.01,0.89,0.98,0.94
b_1,1.02,1.08,1.08,0.71,1.0,1.55,0.98,0.99,0.95,1.18,1.08,0.98,1.03,0.86,0.85,1.01
a_1,1.13,1.04,0.99,1.0,0.66,1.0,1.22,1.08,1.15,1.15,1.14,1.22,1.12,1.13,1.24,0.98
h_1,0.93,1.2,1.06,0.96,0.95,0.83,1.0,1.15,0.83,0.91,0.95,1.02,0.87,0.83,0.93,1.08
g_1,0.96,0.91,1.19,1.02,0.99,0.88,0.87,1.0,0.99,1.04,1.1,1.24,0.93,1.03,1.0,1.08
d_0,0.7,1.07,0.91,1.44,1.06,0.86,1.19,1.05,1.0,0.71,0.89,1.04,1.01,1.09,0.95,1.22
c_0,1.02,1.16,0.72,1.31,0.82,0.85,1.11,1.03,1.38,1.0,1.38,1.11,1.04,1.26,1.02,1.16
b_0,0.97,1.04,0.91,1.39,0.83,0.86,1.09,0.94,1.12,0.68,1.0,0.9,1.1,1.42,0.96,1.27
f_0,0.95,1.21,1.01,1.02,1.0,0.86,0.94,0.81,0.98,0.9,1.04,1.0,1.07,1.09,1.47,0.81
h_0,0.92,1.14,1.02,0.99,0.98,0.88,1.17,1.05,0.99,0.95,0.89,0.93,1.01,0.99,0.98,1.28
a_0,0.81,1.15,1.05,1.14,1.11,0.83,1.2,0.96,0.88,0.81,0.74,0.9,0.99,1.0,1.1,0.96
e_0,0.97,1.19,1.0,1.03,1.09,0.84,1.1,1.02,1.06,0.98,0.99,0.69,1.04,0.91,1.0,1.01
g_0,0.89,0.88,1.24,1.02,0.99,0.99,0.93,0.96,0.86,0.9,0.8,1.2,0.77,1.0,0.99,1.01
