,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.51,0.76,0.62,0.49,0.54,0.65,0.98,0.8,1.65,0.44,1.2,1.11,1.08,1.12,0.91,1.21
f_1,0.64,2.55,1.1,0.55,0.64,0.45,0.87,0.79,0.87,0.95,0.92,0.46,1.09,0.91,0.6,0.87
e_1,0.6,0.66,2.78,0.85,0.61,0.55,0.84,0.83,0.96,1.78,1.07,0.94,0.97,0.95,0.53,0.9
c_1,0.63,0.64,0.55,2.88,1.14,0.75,0.88,0.96,0.34,0.84,0.57,0.96,0.79,0.92,0.95,0.82
b_1,0.68,0.66,0.58,0.67,3.29,1.3,0.82,0.89,0.84,0.92,0.34,0.8,0.7,0.81,0.88,0.82
a_1,0.61,0.61,0.56,0.79,0.79,4.47,1.09,0.88,0.78,0.92,0.89,1.07,0.27,0.99,1.35,1.08
h_1,0.94,1.13,0.71,0.71,0.62,0.59,2.61,1.48,1.1,0.99,1.33,1.13,1.02,0.84,1.34,1.53
g_1,1.21,0.68,0.66,0.73,0.59,0.71,1.12,3.22,0.93,0.91,1.35,1.89,1.25,1.36,1.66,0.79
c_0,0.96,0.81,0.97,0.57,0.57,0.63,1.11,1.17,2.16,1.03,2.32,1.23,1.39,1.08,1.32,1.26
d_0,0.55,0.79,0.82,1.62,0.78,0.71,0.99,1.09,0.65,1.92,0.99,1.0,1.1,1.15,0.97,0.91
b_0,0.92,0.95,0.74,1.06,0.44,0.49,1.17,1.12,1.18,1.1,2.36,1.17,2.27,1.22,1.15,1.21
f_0,1.02,0.44,0.67,0.84,0.82,0.79,1.26,1.32,1.4,1.02,1.28,2.64,1.22,1.18,3.02,1.44
a_0,0.86,0.85,0.82,1.02,0.71,0.42,1.09,1.22,1.11,1.0,1.33,1.17,2.88,1.46,1.13,1.14
h_0,0.92,1.16,0.8,0.85,0.65,0.67,0.69,1.58,1.04,1.0,1.09,1.11,1.33,0.76,0.91,1.29
e_0,0.9,0.7,0.53,0.94,1.0,0.82,1.14,1.15,1.17,1.05,1.19,1.23,1.1,1.37,3.36,1.08
g_0,1.38,0.74,0.69,0.74,0.67,0.58,1.12,0.79,1.24,0.9,1.18,1.68,1.07,1.26,1.51,0.81
