,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,2.13,3.53,3.9,3.32,4.01,2.09,1.72,1.56,2.18,1.79,1.63,1.69,1.46,,1.65
f_1,4.16,0.41,3.6,2.49,4.98,3.16,1.58,1.89,1.48,2.6,1.7,,1.54,1.0,,
c_1,3.53,2.95,0.4,4.34,4.38,3.78,2.41,0.95,,2.13,1.93,1.27,1.84,1.24,1.54,1.42
d_1,3.78,5.8,3.53,0.39,3.59,3.1,1.56,,1.89,1.19,1.58,1.72,1.57,1.52,,0.94
b_1,4.52,3.27,2.15,4.18,0.37,4.66,1.8,1.68,1.66,1.86,,2.12,1.84,1.24,,1.23
a_1,3.63,3.96,4.59,4.2,2.13,0.3,1.54,1.62,1.37,2.26,1.45,2.25,,1.63,,1.48
h_1,1.96,2.14,1.55,1.72,1.47,1.73,0.26,0.76,1.11,0.99,0.75,0.78,0.75,,0.86,0.8
d_0,1.06,1.35,2.13,,1.26,2.02,1.14,0.3,0.8,0.78,0.71,0.66,0.61,0.76,0.59,0.6
c_0,1.73,1.79,,1.0,1.56,1.61,0.87,0.7,0.29,0.83,0.84,0.71,0.72,0.59,0.75,0.57
g_1,2.0,2.08,1.55,1.91,2.15,2.08,0.73,0.97,0.77,0.24,0.79,0.97,0.63,0.75,0.79,
b_0,1.62,1.65,1.6,1.75,,1.69,1.06,0.68,0.5,0.76,0.27,0.76,0.87,0.55,0.82,0.58
f_0,1.58,,2.34,1.6,1.47,1.46,0.74,0.84,0.69,0.67,0.8,0.26,0.71,0.52,0.82,0.46
a_0,1.55,1.48,1.84,1.83,1.63,,0.9,0.77,0.66,1.21,0.49,0.65,0.23,0.57,,
h_0,1.25,1.2,1.45,1.14,1.43,1.11,,0.47,0.63,0.69,0.66,0.68,0.67,,0.51,0.45
e_0,,,1.25,,,,0.99,0.82,0.68,0.92,0.56,0.39,,0.56,0.2,0.66
g_0,1.32,,1.22,1.55,1.57,1.48,0.48,0.6,0.52,,0.52,0.67,,0.37,0.61,
