,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.68,0.58,0.62,0.57,0.47,0.25,0.33,0.25,0.26,0.26,0.27,0.18,0.24,0.21,0.26
e_1,0.43,0.41,0.62,0.71,0.61,0.6,0.32,0.36,0.26,0.32,0.31,0.34,0.24,0.27,0.29,0.26
d_1,0.64,0.63,0.39,0.56,0.62,0.52,0.31,0.24,0.29,0.33,0.26,0.26,0.22,0.29,0.25,0.17
c_1,0.56,0.48,0.71,0.38,0.68,0.54,0.36,0.33,0.31,0.17,0.25,0.29,0.21,0.25,0.26,0.21
b_1,0.67,0.61,0.63,0.39,0.36,0.73,0.34,0.31,0.34,0.26,0.3,0.3,0.24,0.24,0.33,0.22
a_1,0.71,0.6,0.67,0.57,0.36,0.3,0.33,0.34,0.32,0.3,0.35,0.27,0.29,0.28,0.28,0.22
h_1,0.62,0.6,0.56,0.56,0.55,0.48,0.23,0.31,0.25,0.28,0.26,0.25,0.24,0.24,0.22,0.24
g_1,0.59,0.54,0.57,0.57,0.58,0.51,0.27,0.21,0.27,0.25,0.28,0.28,0.19,0.26,0.23,0.21
c_0,0.67,0.62,0.41,0.68,0.53,0.54,0.31,0.28,0.22,0.38,0.29,0.24,0.22,0.27,0.25,0.21
d_0,0.56,0.42,0.68,0.7,0.59,0.52,0.33,0.41,0.24,0.22,0.28,0.28,0.22,0.24,0.25,0.25
b_0,0.6,0.5,0.52,0.76,0.64,0.5,0.32,0.26,0.18,0.25,0.21,0.23,0.23,0.28,0.25,0.21
f_0,0.76,0.53,0.56,0.58,0.53,0.52,0.33,0.22,0.28,0.27,0.27,0.19,0.21,0.25,0.27,0.16
h_0,0.63,0.53,0.56,0.61,0.53,0.45,0.33,0.3,0.26,0.24,0.23,0.24,0.24,0.23,0.23,0.22
a_0,0.57,0.53,0.53,0.57,0.64,0.62,0.33,0.3,0.23,0.26,0.17,0.25,0.21,0.19,0.23,0.23
e_0,0.72,0.59,0.57,0.57,0.51,0.47,0.33,0.31,0.25,0.25,0.23,0.16,0.19,0.25,0.18,0.18
g_0,0.56,0.55,0.55,0.62,0.61,0.63,0.25,0.31,0.25,0.25,0.26,0.26,0.18,0.22,0.24,0.22
