,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.17,1.77,1.88,3.04,18.12,33.88,27.93,40.48,37.78,64.21,82.67,87.04,114.72,131.23
f_1,1.25,1.0,1.05,1.45,1.48,2.41,15.45,25.82,25.75,28.62,31.78,38.51,64.47,78.51,92.15,118.51
d_1,0.85,0.95,1.0,1.07,1.45,2.9,15.71,19.43,33.26,28.83,29.99,41.11,69.79,71.62,97.73,77.08
c_1,0.57,0.69,0.95,1.0,1.68,2.1,11.98,16.86,17.26,15.2,19.05,37.23,53.69,60.6,69.53,76.82
b_1,0.53,0.67,0.69,0.6,1.0,3.02,12.52,16.34,20.06,17.88,20.06,33.12,60.04,36.45,63.82,69.88
a_1,0.33,0.41,0.35,0.47,0.33,1.0,6.11,8.56,9.36,11.5,11.45,14.35,27.88,34.96,33.9,41.02
h_1,0.06,0.07,0.06,0.08,0.08,0.16,1.0,1.85,1.6,1.6,1.85,2.87,4.02,4.65,4.87,7.66
g_1,0.03,0.04,0.05,0.06,0.06,0.12,0.53,1.0,1.17,1.02,1.11,2.34,2.83,2.76,3.83,3.83
c_0,0.04,0.04,0.03,0.06,0.05,0.11,0.63,0.85,1.0,1.23,1.58,1.83,2.67,2.88,3.61,3.88
d_0,0.03,0.03,0.03,0.06,0.06,0.08,0.62,0.98,0.83,1.0,1.22,1.91,2.83,2.33,3.15,4.29
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.56,0.9,0.63,0.81,1.0,1.49,2.42,3.34,3.14,3.03
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.35,0.46,0.55,0.56,0.68,1.0,1.79,1.44,2.8,1.61
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.36,0.36,0.36,0.43,0.55,1.0,0.81,1.32,1.82
a_0,0.01,0.01,0.01,0.02,0.03,0.03,0.22,0.37,0.34,0.42,0.31,0.7,1.25,1.0,1.23,1.3
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.24,0.29,0.32,0.32,0.36,0.76,0.77,1.0,1.28
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.13,0.24,0.25,0.23,0.34,0.64,0.55,0.74,0.83,1.0
