,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.09,2.2,2.13,2.45,2.2,1.98,0.56,0.49,0.76,0.43,0.69,0.48,0.43,0.25,0.48,0.37
e_1,1.52,1.09,2.26,2.94,2.63,2.1,0.7,0.59,0.74,0.5,0.58,0.51,0.46,0.36,0.73,0.37
d_1,2.56,3.01,1.09,2.6,2.58,2.15,0.65,0.72,0.44,0.48,0.51,0.5,0.44,0.32,0.48,0.24
c_1,2.68,2.14,3.6,1.09,2.84,2.43,0.76,0.32,0.8,0.78,0.51,0.57,0.53,0.35,0.45,0.38
b_1,3.42,2.98,3.44,1.83,1.1,2.98,0.9,0.58,0.96,0.82,0.55,0.8,0.62,0.47,0.48,0.47
a_1,5.6,4.66,4.29,4.26,2.4,1.12,1.52,1.08,1.44,1.02,0.91,1.37,1.36,0.68,0.91,0.69
h_1,9.3,8.65,7.95,9.13,9.13,7.78,1.51,1.91,2.34,1.61,1.7,1.64,1.46,1.58,1.56,1.12
d_0,12.04,7.6,14.14,12.21,13.1,11.44,3.68,1.85,3.82,2.88,2.48,2.65,2.32,1.99,2.31,1.8
g_1,12.54,11.35,11.41,12.03,12.81,10.85,2.67,2.71,1.57,2.19,2.18,2.45,2.2,1.38,2.23,2.3
c_0,13.27,13.06,7.35,18.75,15.24,9.64,3.64,3.56,3.29,1.81,2.45,2.51,2.15,1.84,2.45,1.61
f_0,19.76,13.81,13.08,12.85,13.22,12.83,4.25,3.42,2.75,2.65,1.88,2.87,2.36,2.07,2.75,1.24
b_0,13.93,13.06,11.29,18.32,21.29,11.17,3.89,3.19,3.65,1.73,2.67,1.81,2.64,2.27,2.77,1.92
a_0,22.17,19.42,17.79,22.29,25.17,19.18,5.46,4.6,4.88,3.14,3.45,2.19,2.13,3.03,3.74,2.59
h_0,19.65,19.63,17.6,19.2,19.83,17.11,6.91,4.25,5.36,3.92,3.97,4.35,3.34,3.62,3.56,2.83
e_0,27.13,22.56,18.91,18.01,18.32,18.8,5.49,3.68,4.81,3.87,2.27,4.22,3.55,2.77,2.09,1.92
g_0,24.4,23.58,21.77,23.09,21.44,23.74,5.05,4.87,7.11,4.48,5.3,5.22,3.9,2.77,4.28,3.72
