,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.66,0.92,1.43,1.68,1.44,1.21,0.7,0.59,0.48,0.66,0.57,0.58,0.46,0.98,0.52,0.53
f_1,1.57,0.66,1.23,1.25,1.33,1.33,0.48,0.64,0.53,0.49,0.63,0.54,0.37,0.43,0.48,0.42
d_1,1.68,1.57,0.65,1.45,1.44,1.17,0.67,0.44,0.53,0.88,0.54,0.48,0.4,0.45,0.28,0.38
c_1,1.14,1.65,1.63,0.64,1.75,1.41,0.66,0.76,0.69,0.32,0.45,0.49,0.41,0.41,0.41,0.49
b_1,1.55,1.87,1.64,0.95,0.61,1.68,0.83,0.94,0.67,0.58,0.59,0.82,0.52,0.57,0.47,0.61
a_1,2.21,1.83,1.75,1.69,1.03,0.58,0.89,0.71,0.65,0.59,0.68,0.74,0.48,0.6,0.56,0.98
h_1,2.13,2.57,2.17,2.11,1.77,1.73,0.57,1.03,0.8,0.88,0.76,0.79,0.86,0.73,0.63,0.66
g_1,2.34,2.45,2.65,2.66,2.11,2.06,0.81,0.55,0.84,0.94,1.05,0.85,0.55,0.75,0.87,0.88
c_0,2.61,2.36,1.53,4.26,2.34,2.17,1.08,1.03,0.64,1.19,0.94,0.99,0.76,0.8,0.69,1.12
d_0,1.48,2.55,3.28,2.94,2.49,2.52,1.02,1.13,0.84,0.63,0.83,0.91,0.71,0.94,0.8,0.86
f_0,2.1,3.76,2.46,2.89,2.43,2.25,1.2,0.74,0.83,0.91,0.6,0.92,0.76,0.99,0.51,0.78
b_0,2.2,2.43,2.45,3.33,3.95,2.38,1.11,1.02,0.6,1.04,0.86,0.59,0.78,1.04,0.81,1.04
h_0,2.63,2.8,2.46,2.59,2.79,2.16,1.65,1.47,1.05,1.06,1.0,0.96,1.02,0.84,0.84,0.89
e_0,3.61,3.67,2.88,3.13,2.33,2.77,1.09,1.38,0.88,1.06,0.6,0.86,1.0,0.57,0.62,0.93
g_0,2.63,3.09,3.21,3.03,2.8,2.52,1.22,1.69,1.05,1.05,1.15,0.92,0.69,1.13,0.97,0.91
a_0,2.73,3.26,3.31,2.82,2.86,4.76,1.45,1.18,0.86,1.22,1.16,0.59,0.88,1.12,0.89,0.56
