,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.93,0.18,0.12,0.1,0.08,0.08,0.08,0.06,0.05,0.06,0.05,,0.05,0.03,0.05,0.03
e_1,0.11,0.93,0.08,0.06,0.08,0.06,0.07,0.11,0.06,0.06,0.06,0.06,0.06,,0.06,0.04
c_1,0.11,0.14,0.93,0.1,0.15,0.09,0.07,0.06,0.06,,0.05,0.05,0.06,0.04,0.04,0.05
d_1,0.13,0.13,0.09,0.93,0.08,0.06,0.08,,0.06,0.11,0.07,0.04,0.07,0.05,0.04,0.05
b_1,0.14,0.11,0.08,0.12,0.93,0.13,0.06,0.08,0.06,0.06,,0.07,0.06,0.05,0.03,0.05
a_1,0.13,0.13,0.1,0.13,0.07,0.93,0.09,0.09,0.06,,0.06,0.08,0.09,0.06,,
h_1,0.37,0.31,0.27,0.27,0.29,0.18,0.71,0.18,0.18,0.21,0.15,0.14,,0.12,0.1,0.14
d_0,0.41,0.31,0.57,,0.24,0.19,0.25,0.58,0.18,0.21,0.17,0.15,0.21,0.17,0.16,0.17
g_1,0.37,0.23,0.3,0.36,0.3,0.19,0.2,0.2,0.71,0.2,0.17,0.2,0.15,0.13,0.13,
c_0,0.41,0.39,,0.29,0.26,,0.22,0.19,0.19,0.57,0.38,0.25,0.2,0.14,0.15,0.17
b_0,0.4,0.47,0.32,0.26,,0.26,0.29,0.29,0.22,0.2,0.57,0.2,0.19,0.15,0.27,0.19
f_0,,0.31,0.39,0.42,0.33,0.21,0.28,0.35,0.23,0.17,0.23,0.59,0.17,0.26,,0.16
h_0,0.56,0.4,0.44,0.45,0.48,0.28,,0.35,0.33,0.37,0.29,0.28,,0.26,,0.33
e_0,0.39,,0.57,0.33,0.38,0.33,0.37,0.23,0.26,0.29,0.19,0.15,0.21,0.57,,0.18
a_0,0.39,0.38,0.5,0.35,0.42,,0.33,0.35,0.25,0.26,0.15,,,,0.58,
g_0,0.53,0.54,0.49,0.7,0.49,,0.35,0.33,,0.31,0.24,0.44,0.19,0.28,,
