,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,14.18,0.67,0.59,0.46,0.61,0.6,0.93,1.07,2.56,1.41,0.56,1.05,1.08,1.04,1.03,1.14
f_1,0.6,13.53,1.72,0.57,0.54,0.68,0.95,0.73,0.7,0.86,0.89,0.46,0.73,0.89,0.64,0.73
e_1,0.49,0.73,12.67,0.95,0.63,0.58,0.87,0.84,0.82,0.85,2.51,0.92,1.0,0.84,0.6,0.89
c_1,0.67,0.58,0.5,13.93,1.85,0.64,0.85,0.9,0.45,0.58,0.89,1.14,0.84,0.88,0.89,0.87
b_1,0.7,0.71,0.59,0.6,14.69,1.62,0.86,0.75,0.79,0.56,0.56,0.9,0.95,0.79,0.94,0.99
a_1,0.68,0.69,0.66,0.75,0.49,21.23,1.03,1.02,1.0,1.21,1.0,0.79,1.21,0.82,1.21,0.95
h_1,0.92,1.23,0.6,0.68,0.66,0.72,3.58,1.48,0.93,1.03,0.76,1.02,0.64,1.08,0.99,1.68
g_1,1.71,0.7,0.51,0.65,0.59,0.66,0.95,4.52,1.26,0.97,0.77,2.14,1.3,1.0,1.44,0.75
c_0,0.91,0.79,0.66,0.63,0.47,0.71,1.1,1.08,2.59,3.73,1.08,1.35,1.45,1.72,1.26,1.34
b_0,0.83,0.87,0.74,0.93,0.48,0.49,1.42,1.14,1.02,2.56,1.24,1.32,1.44,2.66,1.31,1.22
d_0,0.33,0.59,0.74,2.91,0.81,0.55,1.21,1.08,0.69,0.92,2.35,1.31,1.04,0.97,1.15,1.06
f_0,0.93,0.59,0.49,0.99,0.76,0.67,1.06,1.25,1.14,1.42,1.05,2.9,1.48,1.13,3.61,1.28
h_0,1.09,0.99,0.61,0.8,0.62,0.61,0.87,1.81,1.01,1.19,1.08,1.26,0.82,1.09,1.51,1.68
a_0,1.04,0.8,0.68,0.88,0.73,0.47,1.26,1.09,0.99,1.21,1.06,1.43,1.54,3.45,1.12,1.51
e_0,0.93,0.88,0.34,1.06,0.9,0.62,1.02,1.33,1.05,1.39,0.76,1.12,1.74,1.47,4.02,1.72
g_0,1.65,0.64,0.57,0.87,0.76,0.7,1.06,0.73,1.01,1.07,0.8,2.18,1.01,0.87,1.21,0.77
