,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.77,0.06,0.05,0.06,0.05,0.06,0.31,0.71,0.24,0.46,0.32,0.35,0.7,0.46,,0.36
f_1,0.13,37.1,0.07,0.06,0.07,0.08,0.29,0.29,0.28,0.46,0.32,,0.56,0.26,0.38,0.51
d_1,0.06,0.1,41.87,0.05,0.05,0.08,0.37,,0.28,0.55,0.4,0.41,0.55,0.31,0.55,0.52
c_1,0.07,0.07,0.04,43.74,0.14,0.06,0.3,0.43,0.23,,0.32,0.33,0.58,0.36,0.49,0.61
b_1,0.06,0.05,0.07,0.1,47.67,0.12,0.19,0.29,0.33,0.32,,0.54,0.7,0.33,,0.68
a_1,0.07,0.05,0.08,0.07,0.05,69.16,0.33,0.28,0.37,0.26,0.45,0.37,0.79,,,0.59
h_1,0.29,0.42,0.21,0.22,0.34,0.24,28.85,1.48,1.1,1.02,1.61,1.12,,1.12,1.67,3.23
d_0,0.23,0.25,,0.81,0.39,0.34,1.35,17.25,1.15,1.5,2.32,1.8,3.35,2.06,2.48,2.94
g_1,0.19,0.21,0.42,0.18,0.23,0.25,1.34,1.2,35.81,1.58,0.98,2.42,2.49,1.76,1.33,
c_0,0.4,0.36,0.41,,0.17,0.4,1.63,2.19,1.26,19.78,3.59,2.25,1.86,1.87,1.41,3.19
b_0,0.29,0.35,0.45,0.22,,0.27,1.45,1.96,1.87,1.69,21.45,2.04,2.9,3.53,1.66,3.9
f_0,0.33,,0.29,0.33,0.48,0.42,1.54,1.81,1.69,2.42,1.45,22.34,3.3,1.7,4.3,1.94
h_0,0.55,0.9,0.5,0.64,0.62,0.39,,3.1,3.11,2.47,2.71,2.51,,2.45,2.55,5.45
a_0,0.32,0.31,0.5,0.23,0.26,,1.83,2.09,1.1,1.78,2.64,2.18,3.84,29.68,,2.06
e_0,,0.32,0.34,0.42,0.34,,1.42,2.44,1.55,2.7,1.42,2.3,4.12,2.19,28.13,3.92
g_0,0.45,0.43,0.96,0.6,0.73,0.47,1.92,2.4,,4.18,3.44,2.92,2.46,2.61,3.51,
