,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.94,1.26,0.72,0.75,0.66,0.52,0.85,0.93,0.86,0.92,0.9,0.55,0.95,0.91,0.65,0.78
e_1,0.91,2.02,0.66,0.82,0.73,0.72,0.98,1.63,0.84,0.88,1.14,0.94,1.09,0.92,0.81,0.93
d_1,0.82,0.77,2.35,0.59,0.71,0.68,0.95,0.65,1.91,1.02,1.09,1.15,1.03,1.18,1.04,1.13
c_1,0.7,0.66,0.73,2.28,1.39,0.79,0.84,0.82,0.5,0.7,0.66,0.98,0.88,0.92,1.03,0.94
b_1,0.67,0.72,0.71,0.8,2.42,1.41,0.98,0.9,0.81,0.89,0.68,1.06,0.98,0.64,0.96,1.09
a_1,0.8,0.72,0.94,0.8,0.66,3.42,1.04,0.91,0.94,1.13,0.86,0.97,0.96,0.72,1.15,0.94
h_1,1.13,0.69,0.97,0.91,0.65,0.64,2.07,0.94,0.94,1.36,1.06,1.01,0.7,1.22,1.13,1.36
d_0,0.85,0.67,0.55,1.58,0.84,0.74,1.1,1.57,0.72,1.1,0.94,1.09,1.15,1.06,1.04,0.95
c_0,0.96,0.9,0.91,0.79,0.58,0.73,1.1,0.89,1.76,1.16,2.1,1.01,1.1,1.51,1.16,1.18
g_1,0.75,0.75,1.36,0.87,0.74,0.67,0.94,0.93,0.99,2.53,1.13,1.71,1.12,0.93,1.07,0.82
b_0,0.97,0.75,0.98,0.96,0.46,0.79,1.05,1.14,1.02,0.95,1.91,0.94,1.22,2.21,1.02,1.02
f_0,0.66,0.52,1.05,0.95,0.87,0.86,1.32,0.91,1.23,1.1,1.33,2.27,1.15,1.33,2.53,1.3
h_0,1.11,0.82,0.89,0.82,0.73,0.89,0.72,0.93,0.96,1.45,1.15,1.08,0.8,0.85,1.0,1.38
a_0,0.94,0.8,0.96,0.94,0.83,0.47,1.26,0.96,1.13,1.19,1.25,1.08,1.18,2.34,1.05,1.11
e_0,0.88,0.55,0.94,0.97,0.82,0.95,1.23,0.85,1.13,1.11,1.26,0.94,1.3,1.22,2.38,1.32
g_0,0.81,0.61,1.44,0.82,0.63,0.83,1.13,0.8,1.14,0.87,1.29,1.68,1.09,1.12,1.35,1.03
