,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.06,2.37,1.82,2.4,1.87,1.67,0.59,0.75,0.58,0.64,0.52,0.72,0.5,0.35,0.45,0.51
e_1,1.44,1.06,2.05,2.17,2.5,1.92,0.89,0.91,0.68,0.78,0.65,0.7,0.72,0.53,1.05,0.51
d_1,2.33,2.63,1.06,2.11,1.85,1.84,0.72,0.57,0.69,0.99,0.62,0.57,0.5,0.44,0.51,0.3
c_1,2.14,1.97,2.47,1.06,2.45,1.8,0.83,0.69,0.87,0.42,0.59,0.55,0.56,0.53,0.47,0.49
b_1,2.82,2.14,2.61,1.43,1.06,2.6,0.93,1.0,0.92,0.75,1.04,0.64,0.6,0.65,0.81,0.57
a_1,3.16,3.33,3.06,3.53,2.06,1.07,1.57,1.36,0.94,1.03,1.21,0.89,1.35,0.74,0.9,0.72
h_1,6.57,5.3,5.36,6.46,6.04,4.31,1.32,2.47,1.58,1.54,1.79,1.47,1.3,1.55,1.29,1.26
g_1,7.41,6.66,6.76,7.88,6.22,5.15,1.84,1.31,1.74,1.84,1.83,1.7,1.59,1.02,1.7,1.65
c_0,7.84,7.11,4.31,10.84,5.76,4.72,2.47,3.06,1.45,2.6,2.36,1.73,1.88,1.63,1.99,1.46
d_0,6.93,4.15,9.11,8.32,6.49,5.62,2.67,2.88,1.88,1.5,2.07,1.92,1.75,1.61,1.61,1.87
b_0,7.82,6.69,6.52,10.12,8.84,6.01,2.69,2.56,1.35,2.18,1.48,1.98,2.41,1.6,1.89,1.38
f_0,11.42,7.85,7.48,10.22,7.69,6.77,3.27,2.14,2.39,2.64,2.14,1.55,2.14,2.07,2.52,1.41
a_0,10.36,8.49,8.75,9.43,11.1,9.6,3.93,3.49,2.32,2.78,1.58,2.4,1.59,2.49,2.39,1.94
h_0,11.56,9.25,9.18,9.75,7.67,7.65,4.34,3.81,2.66,3.03,2.53,2.35,2.1,2.73,2.29,2.28
e_0,15.61,11.22,9.72,12.26,8.61,7.69,4.09,3.22,2.98,3.63,3.08,1.62,2.45,2.04,1.54,1.98
g_0,10.71,10.25,12.68,10.71,9.64,7.92,3.11,4.94,3.32,3.0,3.02,3.4,3.17,1.98,2.44,2.8
