,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.89,0.94,0.86,0.74,0.59,0.67,0.63,0.58,0.66,0.56,0.52,0.53,0.45,0.56
e_1,0.8,1.0,0.96,1.14,1.01,0.82,0.72,0.71,0.88,0.65,0.61,0.72,0.61,0.61,0.62,0.59
d_1,1.15,1.03,1.0,0.94,0.95,0.78,0.71,0.53,0.68,0.82,0.7,0.59,0.59,0.62,0.61,0.5
c_1,1.04,0.87,1.07,1.0,1.25,0.81,0.74,0.73,0.51,0.56,0.53,0.57,0.63,0.57,0.58,0.51
b_1,1.14,1.0,1.09,0.81,1.0,1.34,0.73,0.67,0.66,0.75,0.66,0.69,0.69,0.51,0.58,0.58
a_1,1.35,1.19,1.25,1.21,0.75,1.0,0.97,0.88,0.79,0.77,0.83,0.75,0.74,0.7,0.62,0.67
h_1,1.73,1.41,1.39,1.33,1.37,1.07,1.0,1.05,0.88,0.87,0.92,0.81,0.77,0.69,0.77,0.85
g_1,1.5,1.4,1.87,1.4,1.44,1.15,0.94,1.0,0.85,0.95,0.95,1.05,0.81,0.92,0.91,0.8
d_0,1.55,1.17,1.49,1.96,1.5,1.26,1.15,1.13,1.0,0.83,0.89,0.99,0.95,0.81,0.91,0.92
c_0,1.66,1.63,1.25,1.9,1.29,1.19,1.16,1.04,1.17,1.0,1.34,0.94,1.04,1.06,0.85,0.96
b_0,1.59,1.66,1.34,1.83,1.42,1.22,1.11,1.07,1.18,0.78,1.0,0.91,0.89,1.27,0.81,0.85
f_0,1.85,1.34,1.71,1.68,1.48,1.41,1.19,0.98,0.98,1.02,1.07,1.0,0.97,1.04,1.38,0.78
h_0,1.98,1.67,1.62,1.56,1.44,1.3,1.3,1.24,1.03,0.95,1.15,1.02,1.0,0.87,0.89,1.1
a_0,1.86,1.75,1.59,1.86,1.9,1.4,1.49,1.16,1.25,0.95,0.85,1.05,1.11,1.0,0.97,1.02
e_0,2.21,1.66,1.63,1.68,1.67,1.61,1.28,1.15,1.05,1.11,1.23,0.79,1.14,0.98,1.0,0.97
g_0,1.83,1.68,2.0,1.94,1.68,1.51,1.17,1.26,1.1,1.07,1.24,1.31,0.93,0.94,1.05,1.0
