,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,8.43,10.55,9.9,13.25,17.94,4.14,3.84,4.07,2.64,2.82,2.98,1.7,2.35,,1.51
f_1,12.83,0.18,14.8,13.77,11.86,21.5,2.42,4.18,2.71,2.04,2.66,,1.05,2.81,2.49,2.4
d_1,15.66,16.23,0.16,12.06,12.0,9.06,3.64,1.91,,2.31,2.65,2.72,2.75,2.08,2.4,1.32
c_1,11.79,17.22,17.58,0.15,10.51,12.34,3.28,3.03,1.35,,2.94,2.82,1.73,2.88,2.7,1.84
b_1,15.02,10.45,14.22,7.83,0.14,14.22,3.28,6.65,2.18,3.93,,2.14,1.74,2.95,2.32,1.61
a_1,11.48,14.71,14.39,18.03,6.88,0.09,2.94,2.83,2.94,,,2.55,2.47,,1.78,1.83
h_1,4.88,3.33,4.02,2.86,3.28,3.6,0.07,0.73,0.47,0.53,0.56,0.88,,0.75,0.7,0.53
g_1,4.88,3.87,3.98,4.39,3.19,3.18,0.81,0.06,0.57,0.64,0.59,0.64,0.36,0.54,,
d_0,1.2,2.51,,3.08,3.02,3.13,0.66,0.85,0.08,0.52,0.56,0.65,0.3,0.79,0.58,0.36
c_0,2.34,2.33,1.24,,3.11,,0.63,0.85,0.6,0.08,0.6,0.49,0.42,0.44,0.42,0.41
b_0,2.5,2.04,2.65,3.2,,,0.85,0.89,0.56,0.32,0.07,0.39,0.35,0.79,,0.4
f_0,2.98,,2.16,2.2,2.57,1.86,0.67,0.49,0.75,0.48,0.71,0.06,0.4,,0.67,0.23
h_0,1.51,1.69,1.93,2.05,1.87,1.53,,0.55,0.34,0.3,0.3,0.26,,0.39,0.22,0.23
a_0,3.34,3.09,3.6,1.99,3.93,,0.79,0.66,0.69,0.53,0.22,,0.39,0.05,,0.27
e_0,,4.57,1.78,2.19,2.32,2.22,0.67,,0.65,0.42,,0.35,0.39,,0.05,0.36
g_0,2.46,1.32,1.78,2.21,2.01,1.22,0.39,,0.33,0.47,0.37,0.34,0.14,0.4,0.46,
