,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,115.32,50.22,57.32,75.41,95.75,255.01,8014.86,12453.9,31491.92,23702.14,28146.49,33091.84,78610.42,65311.34,142981.98,115129.95
f_1,83.31,123.37,56.2,53.12,79.48,205.47,8124.47,11454.13,16599.34,20567.19,14989.36,30875.24,74878.83,72847.56,103688.5,101869.81
d_1,49.66,65.26,131.67,49.76,74.55,243.46,8362.54,10783.2,14491.48,31644.34,23429.33,36148.55,71513.87,88396.7,135193.26,113987.93
c_1,38.57,57.33,57.28,132.19,123.64,284.83,7530.33,10863.27,16596.51,8698.57,23402.74,22272.32,73588.83,81088.79,113665.87,96307.2
b_1,41.96,51.42,58.27,46.53,172.78,380.19,6441.99,10688.54,16870.14,17811.4,16538.16,14269.54,78522.69,72589.92,97844.14,80689.39
a_1,30.13,36.61,38.11,35.15,41.76,457.86,5353.02,8523.62,11208.62,13839.64,16686.5,18375.78,42989.9,45478.92,78037.64,49922.64
h_1,13.46,17.34,16.43,16.05,20.34,65.41,3560.38,3646.7,4395.06,5644.16,5628.88,7756.01,14569.34,17891.97,40907.86,25275.32
g_1,10.12,9.91,19.11,15.97,18.74,49.63,1783.47,5057.06,3726.69,4467.47,8063.6,7422.39,16870.45,20186.03,20806.63,21565.24
d_0,8.75,12.06,6.82,21.75,16.64,56.31,1745.75,2789.62,5678.56,3633.91,5297.06,5054.37,16028.84,15803.84,24467.59,21556.82
c_0,10.81,11.35,12.0,11.21,14.26,43.04,1764.98,2848.45,4003.62,6167.52,5887.65,10183.84,17122.81,18151.65,25615.0,26081.43
f_0,7.83,8.26,12.78,13.33,16.95,50.56,1553.07,2037.14,3728.03,3853.84,7122.71,5599.92,13101.38,32205.71,21398.13,21504.9
b_0,9.31,9.59,10.55,12.43,11.19,50.28,1466.74,2216.52,3528.29,3286.48,4761.26,8232.53,15768.39,16391.63,26290.86,33126.1
h_0,7.16,9.88,8.57,8.74,10.24,33.31,810.76,2199.44,2485.85,2558.05,3509.11,3648.0,8637.6,10867.75,22643.02,14365.79
e_0,4.42,7.95,7.82,9.07,9.47,39.17,1206.63,1637.13,2796.66,2845.73,2282.08,3274.61,10851.23,19775.94,13803.18,12812.2
g_0,5.1,6.55,9.57,7.64,9.13,32.2,894.56,1407.76,2003.8,2401.21,4132.56,3478.41,7510.6,10797.17,12477.53,11287.08
a_0,5.67,7.34,8.05,7.99,7.53,24.29,1095.02,1824.28,2038.43,2417.59,2716.55,3383.9,10411.41,11909.58,15306.16,21791.82
