,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.38,2.21,1.74,2.15,1.82,0.81,0.67,0.55,0.51,0.71,0.7,0.48,0.5,0.74,0.59
f_1,2.11,1.06,2.01,1.85,1.78,1.42,0.53,0.65,0.51,0.49,0.62,0.61,0.36,0.53,0.41,0.46
c_1,1.78,2.28,1.06,2.97,2.31,1.74,0.79,0.41,0.85,0.56,0.71,0.54,0.44,0.49,0.61,0.43
d_1,2.77,2.44,1.98,1.06,2.07,1.97,0.88,1.13,0.73,0.77,0.6,0.61,0.5,0.6,0.52,0.34
b_1,2.5,2.72,1.59,2.65,1.06,2.85,1.02,0.9,0.8,1.28,0.86,0.87,0.68,0.75,0.62,0.48
a_1,3.65,4.43,3.37,3.13,1.76,1.07,1.31,1.25,1.22,1.29,1.19,0.88,0.83,1.37,0.93,0.84
h_1,5.47,7.27,5.36,5.16,5.6,4.48,1.33,1.64,1.63,1.48,1.7,1.56,1.51,1.41,1.48,1.23
d_0,4.24,6.43,7.48,8.66,5.84,5.29,2.79,1.49,1.72,1.81,2.68,1.65,1.58,1.55,1.95,1.58
c_0,8.33,7.95,11.99,4.28,6.76,4.95,2.56,2.67,1.48,2.06,2.14,1.93,1.55,1.77,1.89,1.3
b_0,7.66,9.54,11.35,6.29,8.84,5.68,2.77,2.46,1.54,1.48,2.42,2.03,1.75,2.41,2.12,1.79
g_1,8.54,9.42,8.69,7.54,8.36,7.22,2.65,2.33,2.1,2.18,1.35,2.07,1.23,1.68,1.69,2.11
f_0,8.07,13.24,10.58,8.09,7.72,6.63,3.1,2.68,2.32,2.38,2.17,1.46,1.87,2.1,2.66,1.21
h_0,9.07,11.59,9.75,8.6,8.57,6.27,4.95,2.88,2.57,2.82,3.74,2.34,2.42,2.52,2.19,2.1
a_0,9.9,9.24,12.58,8.9,10.79,10.14,4.35,3.4,2.43,1.54,3.15,2.87,2.27,1.58,2.35,2.19
e_0,13.16,12.94,9.6,9.53,9.52,7.42,3.51,3.11,2.85,3.02,3.44,1.49,2.38,2.89,1.57,1.91
g_0,10.23,11.56,11.97,11.57,11.06,8.59,3.6,3.09,3.19,2.73,4.21,3.13,2.0,2.75,2.73,2.56
