,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.56,0.64,0.73,0.69,0.74,0.14,0.12,0.2,0.13,0.11,0.23,0.06,0.13,0.11,0.12
e_1,0.36,0.16,0.74,0.81,0.74,0.66,0.22,0.15,0.22,0.16,0.14,0.21,0.11,0.15,0.11,0.27
d_1,0.82,0.86,0.16,0.62,0.59,0.58,0.16,0.14,0.13,0.28,0.15,0.12,0.1,0.1,0.06,0.12
c_1,0.75,0.54,0.76,0.15,0.58,0.61,0.22,0.23,0.19,0.08,0.13,0.12,0.09,0.14,0.1,0.11
b_1,0.86,0.74,0.6,0.33,0.13,0.67,0.21,0.2,0.2,0.15,0.38,0.14,0.12,0.13,0.1,0.13
a_1,0.6,0.81,0.83,0.67,0.33,0.09,0.18,0.15,0.22,0.17,0.17,0.14,0.11,0.3,0.13,0.15
h_1,0.6,0.49,0.5,0.5,0.48,0.5,0.06,0.1,0.14,0.12,0.13,0.1,0.13,0.11,0.08,0.11
c_0,0.6,0.57,0.28,0.96,0.6,0.51,0.17,0.06,0.14,0.18,0.12,0.1,0.08,0.12,0.07,0.09
g_1,0.55,0.52,0.53,0.61,0.62,0.42,0.11,0.08,0.05,0.11,0.11,0.09,0.05,0.11,0.09,0.12
d_0,0.55,0.28,1.09,0.56,0.61,0.58,0.15,0.1,0.17,0.06,0.1,0.11,0.09,0.1,0.08,0.1
b_0,0.52,0.48,0.43,0.77,0.87,0.45,0.14,0.05,0.16,0.1,0.05,0.1,0.07,0.12,0.07,0.1
f_0,1.12,0.49,0.49,0.58,0.47,0.45,0.17,0.09,0.09,0.11,0.1,0.05,0.08,0.11,0.04,0.09
h_0,0.5,0.49,0.52,0.47,0.5,0.42,0.23,0.1,0.18,0.11,0.09,0.11,0.11,0.1,0.08,0.09
a_0,0.61,0.44,0.51,0.61,0.61,0.68,0.2,0.1,0.13,0.1,0.05,0.09,0.09,0.04,0.08,0.11
g_0,0.5,0.5,0.56,0.49,0.56,0.46,0.1,0.12,0.26,0.1,0.1,0.12,0.07,0.1,0.11,0.1
e_0,0.77,0.76,0.4,0.55,0.51,0.49,0.17,0.09,0.14,0.09,0.13,0.05,0.1,0.11,0.06,0.04
