,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.85,1.4,1.66,1.51,1.47,0.69,0.61,0.78,0.57,0.49,0.61,0.4,0.54,0.48,0.82
f_1,1.64,0.65,1.27,1.41,1.43,1.18,0.47,0.53,0.6,0.43,0.47,0.73,0.34,0.42,0.44,0.36
d_1,1.67,1.54,0.65,1.38,1.28,1.26,0.65,1.04,0.43,0.61,0.66,0.46,0.45,0.47,0.29,0.4
c_1,1.24,1.54,1.69,0.65,1.68,1.2,0.7,0.33,0.63,0.59,0.44,0.44,0.38,0.5,0.42,0.46
b_1,1.45,1.75,1.59,0.98,0.63,1.59,0.77,0.62,0.7,0.61,0.78,0.58,0.45,0.57,0.45,0.68
a_1,1.59,2.37,1.79,1.84,1.02,0.58,0.82,0.69,1.08,0.62,0.98,0.7,0.65,1.42,0.52,0.61
h_1,2.01,2.78,1.99,2.06,2.17,1.95,0.57,0.88,1.08,0.82,0.64,0.71,0.86,0.68,0.89,0.82
d_0,1.6,2.26,2.95,2.75,2.33,2.08,0.96,0.63,1.06,0.75,0.88,0.88,0.77,0.75,0.75,0.79
g_1,2.19,2.6,2.74,2.45,2.43,2.15,0.84,0.95,0.54,0.82,0.81,0.91,0.58,0.77,0.96,0.92
c_0,2.27,2.56,1.59,4.23,2.47,2.13,1.09,1.16,1.15,0.63,1.22,0.95,0.82,0.91,0.7,0.84
b_0,2.48,2.72,2.14,3.18,3.56,1.96,1.37,0.88,1.05,0.53,0.59,0.96,0.78,0.99,0.7,0.72
f_0,2.43,4.19,2.42,3.07,2.21,2.21,1.19,1.06,0.73,0.97,0.82,0.59,0.73,0.76,0.56,1.0
h_0,2.71,3.11,2.62,2.61,2.91,2.45,1.68,0.95,1.23,0.89,0.81,0.87,1.1,0.77,0.87,0.85
a_0,2.51,3.1,2.83,3.36,3.54,3.4,1.24,1.23,1.16,0.98,0.59,0.92,0.91,0.57,1.08,0.93
g_0,2.98,3.18,3.1,2.86,3.25,2.71,0.84,1.17,1.67,1.12,1.09,1.01,0.77,0.85,0.94,1.12
e_0,3.87,5.32,2.93,2.72,2.61,2.39,1.27,1.08,1.3,1.06,1.21,0.57,0.81,0.95,0.78,0.56
