,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.92,0.34,0.39,0.46,0.35,0.23,0.33,0.35,0.63,0.32,0.36,0.28,0.38,0.21,0.22,0.29
d_1,0.42,0.93,0.42,0.28,0.31,0.25,0.36,0.37,0.26,0.57,0.33,0.4,0.37,0.24,0.25,0.28
f_1,0.68,0.39,0.92,0.38,0.28,0.2,0.34,0.29,0.37,0.32,0.19,0.31,0.29,0.15,0.21,0.26
c_1,0.4,0.39,0.38,0.91,0.58,0.27,0.31,0.34,0.35,0.23,0.3,0.22,0.37,0.22,0.17,0.23
b_1,0.36,0.42,0.43,0.36,0.9,0.49,0.36,0.33,0.34,0.35,0.3,0.25,0.36,0.24,0.16,0.28
a_1,0.41,0.44,0.48,0.39,0.29,0.89,0.37,0.34,0.36,0.36,0.28,0.34,0.4,0.24,0.17,0.28
h_1,0.46,0.48,0.53,0.4,0.34,0.25,0.66,0.42,0.35,0.33,0.33,0.31,0.32,0.26,0.23,0.41
g_1,0.42,0.64,0.38,0.37,0.33,0.26,0.38,0.64,0.33,0.38,0.49,0.33,0.39,0.29,0.21,0.26
d_0,0.44,0.36,0.39,0.68,0.4,0.28,0.36,0.34,0.55,0.25,0.34,0.25,0.37,0.26,0.19,0.31
c_0,0.49,0.47,0.48,0.35,0.27,0.24,0.39,0.39,0.37,0.56,0.36,0.6,0.45,0.26,0.33,0.3
f_0,0.37,0.52,0.37,0.44,0.34,0.29,0.37,0.43,0.44,0.34,0.54,0.34,0.43,0.48,0.23,0.36
b_0,0.43,0.48,0.49,0.41,0.27,0.19,0.38,0.36,0.41,0.41,0.35,0.55,0.43,0.25,0.45,0.32
h_0,0.42,0.48,0.55,0.41,0.33,0.27,0.29,0.45,0.38,0.35,0.32,0.37,0.28,0.28,0.23,0.36
e_0,0.33,0.52,0.46,0.43,0.37,0.3,0.37,0.41,0.38,0.36,0.33,0.36,0.45,0.46,0.24,0.33
a_0,0.42,0.5,0.43,0.45,0.39,0.17,0.39,0.37,0.38,0.34,0.36,0.39,0.43,0.27,0.46,0.35
g_0,0.41,0.63,0.41,0.41,0.33,0.24,0.38,0.33,0.34,0.35,0.46,0.31,0.45,0.32,0.21,0.24
