,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,10330.21,2857.7,3364.71,5132.99,6101.59,26847.91,2895007.81,6486609.43,15919891.33,10532710.4,29062419.61,28829629.35,85430028.09,175045922.17,134899718.14,119100584.86
f_1,4211.25,11813.42,3072.22,3978.79,4718.41,27414.71,2549026.33,6354478.52,9485420.88,14627617.04,29269704.25,12234686.4,74018146.49,166074740.36,120665262.37,153461197.51
d_1,2117.83,2858.38,18028.19,3104.01,6375.21,27071.57,2571832.43,7337773.35,4363587.8,26769443.13,33158352.25,32739843.0,100195119.41,222095049.95,163831362.01,181718838.17
c_1,2217.69,2462.81,3852.79,21200.99,10661.73,28377.58,2487148.91,6447372.89,7989908.38,5702354.98,17356096.22,26449927.35,94206335.27,204828884.4,169078422.72,166417967.02
b_1,2017.95,2616.5,3769.34,4363.03,33724.6,55366.81,1925625.04,5264783.83,9003170.54,14737049.42,14342293.9,32663203.63,100242335.04,212671892.18,128702387.64,201573745.28
a_1,2252.56,2764.62,3275.18,4744.22,6576.41,247725.9,2811645.23,7599041.21,8520679.97,9658384.35,31305883.87,30803052.63,92313041.85,198948496.76,81605974.76,174427127.09
h_1,2407.21,3989.25,4787.34,5059.54,6930.2,29354.19,8590093.71,10549085.02,8632621.65,15859454.6,38657055.24,46706679.98,64012471.84,346028278.3,191594192.8,256641459.14
g_1,2573.41,2863.19,6848.94,5286.4,5653.6,29945.27,3336016.46,27845233.64,7443918.74,17104584.82,29975159.15,65113018.68,108015709.49,148901057.46,204198379.99,232277694.1
d_0,2812.39,3503.42,1857.36,9914.07,7481.34,33055.57,3052817.98,8545842.04,21888380.46,11571765.0,37741648.71,41591700.64,108801850.02,230573589.94,191660594.06,242853084.85
c_0,3069.89,2883.28,5440.43,3465.96,4778.96,39042.88,3784304.47,9662382.43,11787238.85,38448343.9,76526872.33,46591091.4,104297144.19,321018683.21,228649318.7,213998825.96
b_0,2569.12,3369.04,5209.31,6189.98,4638.03,31056.22,3851738.24,8668231.92,11285303.51,14580571.97,87191466.77,34593634.49,120596359.18,304038495.75,422239208.18,234314970.22
f_0,2192.24,1859.07,5309.33,5701.31,7075.34,38583.56,2871188.42,9743578.92,11618849.72,19895945.99,35846798.09,88772033.68,122001365.3,349387776.14,240081784.63,537301667.63
h_0,2842.14,5102.53,4286.34,5317.13,6868.36,35648.13,2070267.21,11086153.46,11253484.48,16022857.87,34732147.2,32713844.26,69280045.55,350498927.89,209119863.15,198731789.86
g_0,2467.92,3162.44,7892.72,5309.91,7583.24,34974.74,3242490.29,4888540.6,9392639.32,15185869.26,35660991.63,53532011.44,110191184.72,158637606.1,142630361.02,204046489.11
a_0,2758.43,3343.59,4390.34,5981.97,6762.15,26253.39,3401428.54,7831471.96,11429046.95,20933969.48,41965222.81,35573941.91,136193720.66,271133268.8,584749906.34,199935230.37
e_0,1269.73,3143.05,4787.34,6344.94,8019.85,38708.83,4069292.56,8363238.57,11825509.1,18736908.38,37714200.24,42627130.39,111611489.37,298260064.79,204367138.98,746032830.18
