,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,8525.13,1155.62,1253.4,2291.99,3547.79,15804.25,1225248.39,10724461.18,3857415.72,5867609.69,14009235.93,17782622.96,28572893.76,57417084.89,12881197.85,130985978.54
f_1,1685.27,11191.8,1588.53,1687.6,3124.86,11342.95,1132669.25,4195778.56,3749440.16,7605063.32,10910234.05,3448987.89,34213940.54,60156041.45,39392481.33,101199680.27
d_1,945.63,1018.92,16303.47,1604.22,3069.0,14483.03,1470456.37,1245899.62,3999619.06,13454151.6,12582019.92,18324004.77,32498161.94,63864342.31,81518456.86,127527294.36
c_1,790.0,1149.75,1434.53,20286.87,5814.82,20857.31,1176962.74,5447625.8,3417422.56,1145580.94,9877061.86,15651168.97,31031547.1,60563364.23,61339037.39,151569489.45
b_1,720.13,1208.82,1916.27,1922.53,41719.68,28434.51,1196651.47,5587132.11,4242879.98,5259968.3,997356.14,18702829.2,25041418.58,58046567.67,66754921.95,78520962.04
a_1,1017.69,1251.4,1265.01,2209.96,3214.43,300435.07,1397767.12,4005008.4,3993724.9,6949969.08,13054755.57,19864772.46,4777270.29,46557500.1,64077994.57,92018873.76
h_1,1602.19,3140.58,2580.4,2705.85,5394.82,25071.95,8545757.07,7162857.84,7431860.58,9101554.93,17581274.57,28130079.75,56697062.1,32557570.82,96061042.11,212414589.16
d_0,1745.17,2051.43,908.5,6455.55,5423.19,27020.28,2181185.79,25083376.69,7999363.31,8674522.97,25001592.21,31653530.43,52934122.67,110216365.51,85256630.42,196720046.29
g_1,1496.19,1646.19,4129.3,3398.7,4484.22,19663.27,2287347.0,8733416.24,35791159.4,13120877.97,20276250.36,49638771.49,61946496.38,116766475.53,116616761.61,95579460.95
c_0,1626.13,2460.83,3485.77,1434.52,3800.9,25795.53,2885822.1,9325163.25,8244046.5,33228197.46,41664714.73,41525355.82,63290522.1,112725303.64,110748060.95,250510683.95
b_0,1620.87,2830.76,2708.04,3445.08,,26227.53,2992704.4,10137000.99,8514721.9,10307434.35,63585609.69,39833582.06,106521753.04,97190378.08,95920885.71,192986008.38
f_0,1058.39,680.08,3914.99,4249.75,5396.4,26244.61,2687903.3,10962670.48,8877711.21,13088263.66,21721423.51,108631012.96,81367745.65,119373302.78,241255415.45,271600905.8
a_0,2057.26,2204.73,3070.28,3242.18,5628.25,,2408551.53,7960145.01,7918398.1,12300823.1,13339638.4,34937198.4,245819430.08,108692197.97,88069950.18,144525394.59
h_0,1665.78,2887.8,2750.95,3045.9,4453.3,26103.46,1017670.26,9022016.0,9680258.29,10628206.87,19656646.0,33680515.3,56346519.24,30507345.96,98649359.63,307932528.38
e_0,348.29,2175.71,3722.53,3074.94,6844.9,38064.55,2225978.48,9308540.85,9263580.51,12118311.25,25797317.23,33632106.36,51060013.85,120113219.95,428076680.02,237398554.49
g_0,1469.07,1885.75,4585.72,3091.2,6784.85,22959.48,1904119.48,6125076.13,2695285.56,9221542.48,19384791.75,53568963.55,46341789.84,90256274.88,99235814.26,84764944.42
