,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.02,0.89,1.09,0.88,0.71,0.71,0.96,0.59,0.65,0.57,0.56,0.63,0.75,0.61
f_1,1.25,1.0,1.02,0.93,0.93,0.71,0.58,0.71,0.6,0.53,0.59,0.58,0.56,0.47,0.41,0.53
c_1,0.98,0.97,1.0,1.05,1.23,0.77,0.75,0.66,0.46,0.57,0.63,0.56,0.61,0.64,0.59,0.51
d_1,1.1,1.08,0.96,1.0,0.89,0.87,0.74,0.57,0.68,0.84,0.67,0.67,0.7,0.59,0.55,0.46
b_1,0.92,1.07,0.82,1.12,1.0,1.19,0.8,0.72,0.74,0.72,0.64,0.85,0.55,0.65,0.59,0.71
a_1,1.14,1.41,1.28,1.16,0.84,1.0,0.94,0.79,0.81,0.82,0.7,0.85,0.64,0.76,0.77,0.65
h_1,1.43,1.66,1.33,1.39,1.31,1.06,1.0,1.15,0.9,0.8,0.8,0.82,0.72,0.82,0.74,0.85
g_1,1.5,1.39,1.48,1.82,1.41,1.27,0.88,1.0,0.87,0.85,1.09,0.83,0.78,0.78,0.83,0.76
d_0,1.05,1.64,2.13,1.43,1.36,1.18,1.11,1.16,1.0,0.79,0.9,0.95,0.88,0.8,0.83,0.95
c_0,1.73,1.97,1.62,1.16,1.42,1.16,1.25,1.17,1.18,1.0,0.97,1.36,0.92,0.92,0.84,0.99
f_0,1.49,1.79,1.7,1.53,1.47,1.29,1.2,0.89,1.11,0.94,1.0,1.06,0.94,1.05,1.37,0.7
b_0,1.81,1.77,1.79,1.59,1.29,1.09,1.18,1.24,1.02,0.72,0.96,1.0,1.39,0.94,0.82,0.88
a_0,1.87,1.74,1.7,1.45,1.78,1.51,1.39,1.27,1.12,0.99,1.05,0.74,1.0,0.96,1.07,0.86
h_0,1.59,2.12,1.62,1.6,1.55,1.31,1.26,1.32,1.28,1.12,0.91,1.0,1.04,1.0,0.92,1.06
e_0,1.47,2.57,1.64,1.71,1.62,1.5,1.36,1.13,1.17,1.17,0.74,1.18,0.88,1.16,1.01,0.89
g_0,1.65,1.89,1.96,2.07,1.53,1.41,1.16,1.32,1.14,1.04,1.43,1.14,1.05,0.92,1.16,1.0
