,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,0.96,1.63,1.75,2.08,1.55,0.46,0.38,0.55,0.34,0.37,0.5,0.31,0.24,0.85,0.26
f_1,1.51,0.43,1.66,1.8,1.63,1.49,0.33,0.37,0.6,0.31,0.27,0.7,0.4,0.17,0.34,0.29
d_1,2.19,1.76,0.41,1.87,1.5,2.01,0.51,0.78,0.32,0.33,0.4,0.28,0.36,0.23,0.28,0.16
c_1,1.48,1.97,2.38,0.41,1.68,1.46,0.58,0.2,0.5,0.61,0.36,0.32,0.33,0.27,0.34,0.26
b_1,1.91,2.39,2.18,1.05,0.38,1.91,0.6,0.43,0.61,0.61,0.88,0.42,0.43,0.32,0.37,0.25
a_1,2.4,2.93,2.64,2.21,1.2,0.32,0.78,0.53,0.83,0.58,0.61,0.48,0.98,0.42,0.39,0.48
h_1,2.74,2.88,2.58,2.75,3.11,2.47,0.32,0.62,0.71,0.55,0.49,0.48,0.5,0.67,0.47,0.4
d_0,1.68,3.41,5.9,3.58,3.5,4.01,1.05,0.37,1.0,0.62,0.6,0.57,0.75,0.52,0.74,0.56
g_1,2.84,3.14,2.88,3.8,3.55,3.24,0.85,0.63,0.29,0.63,0.53,0.66,0.75,0.33,0.6,0.72
c_0,3.5,3.34,1.71,7.35,3.84,3.19,1.09,1.0,0.8,0.35,0.72,0.64,0.77,0.45,0.56,0.58
b_0,2.91,3.83,2.88,4.82,7.45,3.05,1.05,0.66,0.89,0.35,0.35,0.62,0.85,0.57,0.59,0.47
f_0,3.15,10.32,3.33,3.58,3.67,3.07,1.16,0.73,0.65,0.7,0.68,0.34,0.68,0.51,0.7,0.31
a_0,4.46,3.67,3.26,4.19,5.63,7.47,1.14,0.86,0.98,0.71,0.39,0.74,0.31,0.59,0.76,0.57
h_0,4.0,3.95,3.73,4.01,4.11,3.89,1.74,0.84,1.01,0.76,0.83,0.76,0.81,0.84,0.61,0.55
e_0,6.72,6.19,3.09,5.13,3.6,3.66,1.24,1.06,1.02,0.87,0.95,0.38,0.76,0.65,0.32,0.55
g_0,4.05,5.75,3.76,3.77,5.27,4.89,0.98,1.16,1.62,0.89,0.92,0.74,1.02,0.46,0.79,0.97
