,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.03,1.29,0.67,0.72,0.62,0.58,1.0,0.94,0.78,0.86,1.02,0.69,1.0,0.89,0.62,0.97
e_1,0.82,2.07,0.93,0.59,0.78,0.73,0.91,1.55,0.89,0.93,0.96,0.94,0.9,0.91,0.74,1.0
c_1,0.68,0.64,2.22,0.67,1.4,0.77,0.94,0.88,0.86,0.46,0.63,0.93,0.95,1.05,1.04,0.9
d_1,0.88,0.66,0.62,2.42,0.64,0.66,0.9,0.68,1.02,1.84,1.3,0.92,1.06,1.06,1.07,1.02
b_1,0.77,0.68,0.76,0.7,2.49,1.43,0.94,0.89,0.88,0.81,0.55,1.09,0.96,0.79,0.98,0.89
a_1,0.76,0.78,0.81,0.93,0.65,3.57,0.96,0.91,1.17,0.95,0.88,1.05,1.07,0.55,0.97,0.82
h_1,1.15,0.82,0.82,0.92,0.63,0.59,2.12,0.87,1.22,1.0,1.03,0.95,0.82,1.04,1.02,1.45
d_0,0.86,0.77,1.46,0.58,0.83,0.79,1.04,1.55,1.0,0.76,1.13,0.91,0.91,1.03,1.15,1.06
g_1,0.71,0.69,0.9,1.38,0.71,0.69,0.93,0.84,2.53,1.08,1.08,1.75,0.95,0.95,1.34,0.84
c_0,0.91,0.78,0.73,1.0,0.58,0.76,1.06,1.11,1.2,1.85,2.18,1.07,1.31,1.47,1.16,1.18
b_0,0.93,0.89,0.91,0.93,0.48,0.5,1.17,1.08,1.28,1.21,2.23,1.25,1.22,2.36,1.03,1.22
f_0,0.67,0.71,0.99,1.11,0.78,0.73,1.05,1.02,1.11,1.01,1.12,2.1,1.3,1.1,2.44,1.24
h_0,1.1,0.81,0.77,1.01,0.83,0.71,0.82,0.84,1.3,1.04,0.92,1.04,0.77,1.09,1.12,1.49
a_0,0.87,0.85,0.92,0.98,0.78,0.53,1.18,0.96,1.13,0.97,1.21,1.32,1.1,2.28,1.45,1.11
e_0,0.82,0.49,0.91,1.1,0.83,0.79,1.11,1.01,1.05,1.03,1.26,1.16,1.3,1.16,2.61,1.34
g_0,0.85,0.67,0.87,1.41,0.78,0.8,0.97,0.78,0.79,0.95,1.13,1.52,1.19,1.26,1.21,0.92
