,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.95,0.73,0.37,0.34,0.4,0.38,0.72,0.63,0.7,0.84,0.74,0.17,0.74,0.74,0.7,0.86
e_1,0.48,3.98,0.32,0.48,0.32,0.38,0.82,0.81,0.57,1.5,0.74,0.79,0.92,0.6,0.3,0.94
d_1,0.39,0.39,4.12,0.26,0.37,0.37,0.73,1.63,0.7,0.25,1.05,0.93,1.04,0.79,0.93,0.83
c_1,0.32,0.36,0.32,4.62,0.87,0.3,0.73,0.17,0.72,0.67,0.75,0.76,0.92,0.86,0.77,1.05
b_1,0.44,0.32,0.49,0.27,4.67,0.77,0.75,0.73,0.8,0.75,0.19,0.71,0.95,0.68,0.76,0.94
a_1,0.4,0.39,0.43,0.43,0.32,6.5,0.86,0.77,0.59,0.97,0.6,1.06,0.89,0.2,0.63,0.9
h_1,1.04,0.68,0.63,0.72,0.51,0.73,4.83,1.16,1.62,1.02,1.42,1.17,0.53,1.68,1.28,1.65
c_0,0.74,0.63,0.84,0.26,0.61,0.74,1.35,3.67,1.74,1.53,2.98,1.81,1.71,1.85,1.73,1.29
g_1,0.54,0.57,1.27,0.69,0.67,0.53,0.9,1.24,6.28,0.77,1.34,2.08,1.21,1.25,1.08,0.36
d_0,0.77,0.75,0.24,1.5,0.53,0.62,1.43,1.05,1.1,3.69,1.59,1.31,1.32,1.43,1.32,1.09
b_0,0.75,0.72,0.72,0.91,0.26,0.45,1.35,1.62,1.48,1.21,4.51,1.61,1.71,3.63,1.97,1.28
f_0,0.29,0.48,0.87,0.85,0.76,0.57,1.45,1.65,1.39,1.23,1.76,4.85,1.95,2.33,3.78,1.71
h_0,1.06,0.62,0.81,0.76,0.53,0.51,0.59,1.36,1.69,1.49,1.22,1.44,0.54,1.22,1.75,1.69
a_0,0.73,0.71,0.77,1.0,0.61,,1.16,1.47,1.75,1.45,1.51,1.67,1.88,5.48,1.83,1.36
e_0,0.66,0.22,0.72,1.03,0.66,0.66,1.4,1.72,1.56,1.81,1.56,1.8,1.27,1.67,6.62,1.78
g_0,0.48,0.68,1.03,0.77,0.66,0.62,1.4,1.38,0.8,1.73,2.01,2.56,1.24,1.31,1.49,0.56
