,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.88,1.19,1.67,1.88,3.23,22.9,41.35,33.68,32.58,40.46,48.86,79.94,101.76,120.11,125.77
f_1,1.11,1.0,0.99,1.33,1.57,2.44,17.13,26.83,29.88,27.0,36.45,31.69,61.17,87.22,103.63,82.6
d_1,0.83,0.99,1.0,1.15,1.44,2.71,18.58,26.09,24.72,36.6,33.37,34.76,62.67,96.54,75.68,89.58
c_1,0.6,0.78,0.88,1.0,1.77,2.33,16.69,15.83,22.79,21.19,23.87,28.36,51.74,73.27,73.67,69.21
b_1,0.54,0.64,0.7,0.57,1.0,2.55,13.06,15.63,17.53,22.03,23.02,22.79,40.73,51.57,59.62,66.75
a_1,0.31,0.41,0.38,0.42,0.39,1.0,6.58,10.2,10.88,9.54,12.0,13.05,27.52,36.75,34.36,30.37
h_1,0.04,0.06,0.06,0.06,0.07,0.15,1.0,1.4,1.71,1.34,1.77,1.86,3.66,4.62,6.19,5.11
d_0,0.02,0.04,0.04,0.06,0.07,0.09,0.73,1.0,1.06,0.87,1.2,1.3,2.55,3.66,3.8,3.81
g_1,0.03,0.03,0.04,0.05,0.06,0.09,0.58,0.93,1.0,1.02,1.25,1.5,2.07,3.36,3.29,3.44
c_0,0.03,0.04,0.03,0.05,0.05,0.11,0.76,1.1,0.95,1.0,1.64,1.38,2.61,3.54,3.82,3.83
b_0,0.02,0.03,0.03,0.04,0.04,0.08,0.57,0.8,0.83,0.62,1.0,1.06,2.04,3.62,2.96,2.81
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.54,0.76,0.66,0.72,0.97,1.0,1.73,2.47,2.29,3.74
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.28,0.38,0.48,0.39,0.49,0.55,1.0,1.22,1.56,1.4
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.26,0.31,0.28,0.28,0.41,0.87,1.0,1.07,1.03
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.27,0.31,0.26,0.33,0.43,0.63,0.96,1.0,1.29
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.28,0.26,0.32,0.27,0.71,0.99,0.79,1.0
