,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.48,1.22,0.58,0.56,0.42,0.64,2.28,2.17,2.62,2.62,2.72,0.42,4.04,2.84,3.93,2.09
e_1,0.6,5.86,0.68,0.48,0.63,0.57,2.33,1.98,5.3,3.48,2.71,3.07,3.76,2.67,3.87,0.95
c_1,0.56,0.56,6.2,0.53,1.36,0.51,2.29,2.07,2.71,0.64,1.98,3.06,4.61,2.35,3.49,2.87
d_1,0.73,0.48,0.51,6.53,0.53,0.56,2.33,2.05,0.68,5.69,3.37,3.19,4.12,3.15,5.46,2.71
b_1,0.58,0.47,0.65,0.54,7.65,1.25,2.36,2.16,3.2,2.8,0.67,2.34,4.62,1.79,5.04,2.82
a_1,0.84,0.68,0.63,0.49,0.48,11.21,2.06,2.16,3.22,3.0,2.09,2.11,4.85,0.71,2.9,2.04
h_1,1.64,0.92,0.72,1.28,0.88,0.8,15.73,3.81,4.5,4.48,5.54,4.46,3.04,4.59,8.13,5.15
g_1,0.79,1.0,1.05,1.88,0.77,0.86,2.99,18.26,4.17,4.31,5.8,8.34,6.72,6.02,2.52,6.28
d_0,0.92,0.86,2.21,0.42,0.93,0.74,4.02,3.91,13.18,4.59,5.38,6.99,9.06,6.69,7.73,7.1
c_0,1.31,0.89,0.48,1.37,0.73,1.08,3.26,4.13,5.74,14.99,12.99,5.77,7.72,6.15,10.3,7.12
b_0,1.04,1.01,0.93,1.54,0.25,1.15,4.24,4.73,4.44,4.23,17.07,6.24,8.3,10.6,8.17,7.93
f_0,0.47,0.76,1.27,1.49,0.89,0.62,3.77,4.98,6.31,6.01,6.95,18.64,10.98,7.83,9.71,13.72
h_0,1.37,0.85,1.33,1.24,0.9,0.73,1.05,5.55,4.49,4.98,6.59,4.82,2.82,5.87,8.66,5.27
a_0,1.14,1.13,1.27,1.07,0.79,,4.52,4.54,4.66,4.2,6.84,7.14,7.37,22.39,7.93,6.3
g_0,0.97,0.69,0.92,2.01,1.01,0.82,3.68,1.81,3.66,3.43,8.04,8.25,7.65,5.52,3.39,5.35
e_0,1.16,0.27,1.42,1.24,1.38,0.92,2.67,3.79,6.12,5.73,7.78,7.0,9.46,4.08,9.64,28.3
