,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.55,1.0,0.92,1.23,0.97,0.76,1.3,1.14,1.12,1.77,1.12,1.08,1.16,1.25,0.95,1.13
f_1,1.41,1.56,0.9,1.09,0.84,0.83,1.08,1.13,1.07,1.27,1.11,0.89,1.09,1.14,0.83,1.06
d_1,1.04,1.14,1.57,0.84,1.01,0.82,1.21,1.03,1.74,1.04,1.29,1.16,1.1,1.2,0.97,1.18
c_1,0.89,0.91,1.08,1.57,1.6,0.87,1.2,1.01,0.9,0.94,0.83,1.19,0.76,1.29,1.08,1.22
b_1,1.03,1.2,0.99,0.87,1.59,1.4,1.23,1.07,1.23,1.08,1.21,1.16,0.94,1.21,1.06,1.15
a_1,1.13,1.16,1.23,1.19,0.85,1.76,1.29,1.19,1.15,1.27,1.32,1.18,0.99,1.5,0.99,1.38
h_1,1.15,1.51,1.28,1.28,1.14,0.96,1.86,1.45,1.37,1.31,1.39,1.32,1.23,1.33,1.07,1.75
g_1,1.09,1.22,1.69,1.35,1.28,1.01,1.52,1.95,1.5,1.3,1.49,1.94,1.28,1.43,1.49,1.49
c_0,1.41,1.45,1.27,1.25,1.12,0.99,1.56,1.52,1.88,1.53,2.21,1.62,1.77,1.72,1.4,1.58
d_0,1.13,1.27,1.01,2.02,1.48,1.07,1.51,1.41,1.09,1.82,1.3,1.52,1.15,1.44,1.27,1.55
b_0,1.36,1.42,1.34,1.54,1.05,0.92,1.45,1.35,1.54,1.55,1.94,1.56,2.33,1.9,1.46,1.57
f_0,1.22,1.41,1.53,1.31,1.35,1.14,1.59,1.32,1.6,1.5,1.45,1.9,1.21,1.77,2.23,1.44
a_0,1.27,1.35,1.36,1.78,1.35,0.88,1.62,1.54,1.45,1.78,1.36,1.66,1.94,1.84,1.4,1.81
h_0,1.37,1.64,1.48,1.37,1.36,0.95,1.42,1.75,1.51,1.61,1.46,1.36,1.32,1.49,1.33,1.84
e_0,1.23,1.58,1.58,1.38,1.4,1.28,1.85,1.45,1.71,1.54,1.73,1.46,1.46,1.89,1.96,1.6
g_0,1.27,1.4,1.85,1.32,1.42,1.04,1.45,1.27,1.7,1.4,1.51,2.07,1.22,1.65,1.67,1.52
