,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.86,0.69,0.8,0.86,0.77,0.33,0.36,0.32,0.51,0.33,0.47,0.25,0.36,0.32,0.35
e_1,0.54,0.41,0.88,0.87,0.91,0.91,0.47,0.43,0.34,0.47,0.33,0.44,0.3,0.41,0.58,0.32
d_1,0.84,0.85,0.39,0.9,0.79,0.71,0.38,0.5,0.42,0.29,0.38,0.33,0.29,0.32,0.33,0.21
c_1,0.78,0.71,0.85,0.39,0.97,0.84,0.45,0.23,0.51,0.41,0.32,0.34,0.32,0.32,0.34,0.33
b_1,0.89,0.81,0.84,0.52,0.38,0.92,0.52,0.39,0.43,0.51,0.64,0.36,0.35,0.38,0.33,0.32
a_1,0.92,0.85,0.87,0.89,0.46,0.32,0.62,0.48,0.37,0.53,0.47,0.45,0.34,0.67,0.45,0.37
h_1,0.91,0.66,0.81,0.7,0.63,0.54,0.24,0.3,0.33,0.43,0.36,0.31,0.34,0.32,0.32,0.29
d_0,0.68,0.47,1.08,0.97,0.75,0.59,0.4,0.25,0.3,0.37,0.36,0.34,0.29,0.31,0.37,0.3
c_0,0.76,0.86,0.43,0.92,0.76,0.66,0.41,0.58,0.25,0.42,0.43,0.3,0.27,0.34,0.32,0.29
g_1,0.78,0.71,0.87,0.73,0.66,0.61,0.29,0.35,0.32,0.21,0.33,0.36,0.24,0.29,0.36,0.28
b_0,0.83,0.74,0.61,1.02,0.88,0.62,0.34,0.35,0.2,0.4,0.22,0.3,0.27,0.31,0.32,0.31
f_0,1.27,0.66,0.66,0.82,0.7,0.59,0.39,0.36,0.35,0.27,0.3,0.21,0.28,0.26,0.4,0.18
h_0,0.77,0.72,0.66,0.8,0.66,0.61,0.5,0.34,0.32,0.36,0.35,0.31,0.37,0.31,0.28,0.32
a_0,0.72,0.62,0.7,0.76,0.88,0.83,0.38,0.34,0.33,0.36,0.2,0.32,0.3,0.2,0.36,0.28
e_0,1.15,0.83,0.68,0.69,0.89,0.58,0.36,0.34,0.29,0.3,0.29,0.17,0.32,0.3,0.18,0.25
g_0,0.76,0.7,0.76,0.77,0.78,0.53,0.3,0.34,0.3,0.47,0.31,0.34,0.22,0.3,0.36,0.32
