,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.93,1.2,1.03,0.97,1.01,1.2,0.91,1.25,1.06,1.17,1.03,1.04,1.1,1.09
f_1,1.22,1.0,0.93,1.02,0.95,0.82,0.9,1.0,0.86,1.03,0.97,0.84,0.87,1.0,0.87,0.99
d_1,1.06,1.07,1.0,0.88,0.97,0.95,1.06,0.82,1.27,1.01,1.05,0.96,0.97,0.98,1.05,0.84
c_1,0.82,0.97,1.14,1.0,1.39,1.0,0.94,0.97,0.87,0.73,0.8,0.97,0.97,0.96,0.96,0.97
b_1,0.97,1.05,1.01,0.76,1.0,1.53,1.05,0.99,1.17,0.93,0.95,1.01,1.16,0.81,0.98,1.02
a_1,1.04,1.22,1.02,1.01,0.68,1.0,1.13,1.04,1.1,1.18,1.16,1.01,1.12,1.19,1.05,1.15
h_1,1.0,1.09,0.99,1.06,0.92,0.88,1.0,1.14,0.88,0.94,0.97,0.96,0.98,1.0,0.83,1.14
g_1,0.85,0.96,1.21,1.04,1.04,0.94,0.86,1.0,1.05,0.93,0.91,1.16,0.96,0.92,1.03,1.04
c_0,1.06,1.15,0.82,1.16,0.84,0.92,1.11,0.92,1.0,1.22,1.3,0.98,1.03,1.18,1.01,1.02
d_0,0.85,0.93,1.02,1.38,1.08,0.83,1.02,1.11,0.79,1.0,1.02,1.02,1.1,0.99,1.0,1.09
b_0,0.96,1.03,0.99,1.16,1.01,0.89,1.05,1.13,0.79,0.97,1.0,1.0,0.99,1.35,0.98,0.97
f_0,0.86,1.1,1.1,1.03,0.99,1.01,1.0,0.89,0.99,0.98,1.0,1.0,1.06,1.01,1.29,0.83
h_0,0.98,1.13,1.02,1.03,0.86,0.92,1.02,1.06,0.98,0.96,1.01,0.91,1.0,0.91,0.99,1.24
a_0,0.96,1.01,1.01,1.02,1.2,0.86,0.98,1.13,0.85,0.96,0.75,1.05,1.11,1.0,1.06,0.96
e_0,0.88,1.12,0.98,1.02,0.98,0.94,1.13,0.99,0.97,1.01,1.07,0.82,0.99,0.89,1.0,1.03
g_0,0.94,0.99,1.18,1.04,1.01,0.87,0.87,0.98,0.96,0.91,1.05,1.2,0.83,0.98,1.05,0.99
