,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.44,28.7,35.71,36.95,34.92,24.78,11.19,10.18,3.34,,8.89,10.0,5.15,8.0,5.01,3.67
f_1,33.92,0.44,44.25,31.35,28.75,39.05,5.4,13.72,6.84,6.29,,5.87,3.46,7.18,5.59,6.59
d_1,43.52,25.01,0.43,44.19,47.29,43.07,8.88,5.53,,5.89,5.59,5.97,6.68,8.86,6.9,2.89
e_1,30.73,21.07,50.07,0.43,37.4,36.19,10.89,9.23,6.02,9.45,7.66,7.21,4.54,,,4.02
b_1,17.91,39.71,38.67,37.79,0.41,36.48,15.13,12.21,9.85,8.69,5.3,,3.66,5.84,10.89,5.36
a_1,82.73,61.8,56.64,49.52,24.66,0.33,10.56,11.44,7.91,12.47,6.38,11.52,5.32,,,7.07
h_1,13.95,15.93,16.74,21.43,17.28,26.27,0.38,5.67,4.18,3.49,3.61,3.96,,1.98,2.67,2.97
g_1,17.25,18.79,16.73,23.84,20.99,21.16,3.89,0.35,4.13,4.25,4.66,4.14,2.12,5.04,3.99,
d_0,14.87,18.63,,7.63,12.6,14.78,4.17,4.3,0.5,4.08,4.07,2.36,1.92,,3.23,1.93
c_0,,16.28,7.81,27.73,17.26,18.34,3.89,3.98,3.55,0.47,2.68,2.99,2.24,,3.46,2.13
f_0,15.31,,15.78,16.45,15.61,15.37,4.55,3.0,3.21,3.27,0.45,5.24,2.67,3.14,,1.92
b_0,30.29,15.54,11.89,19.52,,20.62,4.85,4.85,3.79,1.71,2.74,0.46,2.42,2.54,,3.21
h_0,10.59,13.43,14.88,8.97,14.87,11.34,,4.39,3.4,2.61,4.29,1.72,,2.42,2.77,1.77
e_0,25.7,36.26,24.92,,15.82,,8.91,3.94,,,2.5,3.88,2.73,0.35,,3.35
a_0,28.74,23.85,22.0,,19.72,,6.59,6.39,4.12,3.79,,,1.94,,0.38,2.39
g_0,15.5,18.13,14.5,11.67,21.4,15.65,2.56,,2.67,2.54,2.94,3.01,1.96,3.03,2.01,
