,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,0.91,1.09,1.0,0.99,0.76,0.84,0.74,0.64,0.6,0.76,0.58,0.61,0.62,0.59
f_1,1.32,1.0,0.9,1.02,0.89,0.74,0.55,0.71,0.71,0.61,0.61,0.58,0.51,0.53,0.59,0.41
d_1,1.09,1.1,1.0,0.91,0.91,0.8,0.71,0.75,0.55,0.86,0.75,0.6,0.63,0.57,0.46,0.57
c_1,0.92,1.01,1.09,1.0,1.28,0.85,0.73,0.49,0.6,0.53,0.53,0.54,0.59,0.56,0.57,0.56
b_1,0.99,1.12,1.06,0.78,1.0,1.15,0.81,0.65,0.68,0.71,0.61,0.69,0.58,0.56,0.57,0.63
a_1,1.01,1.3,1.25,1.19,0.86,1.0,0.9,0.8,0.85,0.8,0.98,0.77,0.83,0.91,0.67,0.69
h_1,1.28,1.81,1.44,1.36,1.23,1.1,1.0,1.02,1.07,0.93,0.78,0.85,0.88,0.79,1.08,0.76
d_0,1.17,1.43,1.42,2.05,1.49,1.26,0.95,1.0,0.97,0.76,0.9,0.94,1.02,0.8,0.99,0.82
g_1,1.4,1.44,1.81,1.6,1.46,1.16,0.9,0.98,1.0,0.91,0.87,1.16,0.77,0.85,0.94,0.88
c_0,1.56,1.65,1.2,1.85,1.38,1.28,1.08,1.26,1.07,1.0,1.45,1.01,1.02,0.96,0.96,0.9
b_0,1.65,1.64,1.44,1.97,1.53,1.03,1.26,1.08,1.11,0.69,1.0,1.01,1.06,1.23,0.92,0.81
f_0,1.33,1.69,1.76,1.69,1.48,1.34,1.12,1.08,0.86,0.93,0.93,1.0,0.97,0.82,0.78,1.32
h_0,1.74,2.01,1.59,1.66,1.66,1.29,1.16,1.01,1.28,0.95,0.95,0.99,1.0,0.89,1.08,0.92
a_0,1.66,1.91,1.77,1.92,1.78,1.15,1.25,1.25,1.16,1.01,0.82,1.08,1.22,1.0,1.19,0.92
g_0,1.62,1.75,2.21,1.71,1.74,1.43,0.92,1.03,1.07,1.12,1.06,1.27,0.94,0.8,1.0,1.0
e_0,1.75,2.53,1.77,1.76,1.57,1.36,1.37,1.17,1.24,1.14,1.27,0.75,1.11,1.0,1.03,1.0
