,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,1.12,2.04,2.15,2.06,2.26,0.69,0.51,0.47,0.58,0.37,0.5,0.3,0.41,0.34,0.98
f_1,1.69,0.43,1.63,1.95,2.32,2.32,0.44,0.44,0.42,0.55,0.42,0.81,0.2,0.48,0.4,0.42
d_1,2.21,2.13,0.42,2.6,1.93,1.76,0.51,1.0,0.39,0.4,0.41,0.37,0.29,0.43,0.16,0.33
c_1,1.71,2.28,2.25,0.41,2.2,1.81,0.66,0.24,0.8,0.62,0.44,0.42,0.32,0.44,0.31,0.38
b_1,2.36,2.5,2.87,1.14,0.39,2.27,0.68,0.47,0.59,0.83,0.98,0.43,0.38,0.51,0.33,0.46
a_1,3.22,3.18,2.71,2.68,1.36,0.33,0.82,0.61,0.55,1.08,0.91,0.48,0.43,1.22,0.5,0.46
h_1,3.57,3.36,2.95,3.89,3.33,2.69,0.33,0.74,0.63,0.92,0.74,0.58,0.85,0.58,0.52,0.54
d_0,1.94,3.82,8.11,3.65,3.76,3.48,1.03,0.4,0.8,1.04,0.81,0.75,0.53,0.71,0.67,0.77
c_0,3.65,3.74,2.05,7.69,3.77,3.65,0.99,1.13,0.39,1.09,0.72,0.81,0.49,0.86,0.52,0.75
g_1,3.65,3.35,4.35,4.17,4.06,3.83,0.72,0.67,0.7,0.31,0.71,0.78,0.41,0.64,0.82,0.59
b_0,3.77,3.59,3.28,6.03,7.78,3.22,1.19,0.8,0.38,1.05,0.36,0.73,0.65,0.81,0.53,0.84
f_0,4.38,8.4,3.83,4.47,4.39,4.05,1.5,0.91,0.8,0.67,0.88,0.34,0.59,0.86,0.37,0.83
h_0,4.11,4.6,5.12,4.39,4.92,3.67,2.68,0.98,1.11,1.47,0.75,0.85,1.06,0.78,0.7,0.83
a_0,5.36,4.66,4.46,6.03,5.09,6.22,1.24,1.21,0.78,1.37,0.5,0.97,0.67,0.31,0.67,0.76
g_0,5.01,5.05,4.65,5.17,5.49,5.36,1.06,1.21,1.08,2.21,1.08,1.01,0.55,0.83,1.3,0.79
e_0,11.73,6.17,4.71,4.47,5.08,4.49,1.42,0.99,1.02,1.18,1.11,0.49,0.96,0.95,0.87,0.34
