,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.32,1.31,1.34,1.38,1.32,0.53,0.73,0.52,0.56,0.49,0.94,0.36,0.47,0.61,0.48
d_1,1.21,0.41,1.56,1.43,1.29,1.12,0.66,0.48,0.62,1.45,0.67,0.54,0.53,0.66,0.52,0.31
e_1,0.85,1.32,0.41,1.45,1.3,1.24,0.74,0.74,0.64,0.66,0.55,0.67,0.58,0.53,1.47,0.82
c_1,1.21,1.35,1.23,0.38,1.73,1.26,0.59,0.72,1.08,0.35,0.6,0.53,0.51,0.6,0.52,0.58
b_1,1.36,1.36,1.35,0.72,0.36,1.8,0.85,0.61,0.71,0.68,0.84,0.71,0.44,0.67,0.58,0.46
a_1,1.44,1.35,1.51,1.28,0.71,0.31,0.97,0.88,0.54,0.57,0.64,0.64,0.59,2.14,0.61,0.64
h_1,1.12,0.95,0.92,1.1,0.83,0.91,0.25,0.55,0.43,0.41,0.37,0.37,0.57,0.39,0.37,0.34
g_1,1.05,1.08,0.92,1.02,1.11,0.81,0.42,0.23,0.42,0.48,0.4,0.39,0.29,0.55,0.38,0.58
c_0,1.06,0.59,0.93,2.07,0.98,0.98,0.56,0.65,0.27,0.57,0.58,0.42,0.46,0.53,0.48,0.37
d_0,1.03,1.66,0.56,1.16,0.8,1.06,0.6,0.74,0.47,0.27,0.45,0.5,0.36,0.4,0.41,0.43
b_0,1.21,0.73,0.75,1.09,2.21,0.91,0.55,0.56,0.28,0.47,0.25,0.37,0.39,0.51,0.41,0.36
f_0,2.16,1.01,0.92,0.9,0.85,0.85,0.52,0.39,0.41,0.4,0.43,0.24,0.42,0.44,0.45,0.25
h_0,1.1,0.91,0.86,1.0,0.97,0.76,0.77,0.63,0.36,0.44,0.44,0.37,0.49,0.4,0.48,0.39
a_0,1.21,0.81,0.98,1.06,0.89,,0.6,0.47,0.35,0.5,0.27,0.4,0.39,0.21,0.5,0.39
e_0,1.04,0.91,1.33,0.95,1.04,0.89,0.5,0.6,0.43,0.38,0.46,0.24,0.36,0.35,0.21,0.37
g_0,1.19,1.13,0.71,0.79,0.9,1.01,0.45,0.81,0.44,0.48,0.44,0.48,0.29,0.39,0.43,0.53
