,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,0.91,1.11,0.98,0.89,0.76,0.75,0.98,0.59,0.71,0.6,0.64,0.62,0.61,0.53
f_1,1.3,1.0,0.97,0.89,0.87,0.67,0.62,0.66,0.62,0.57,0.56,0.62,0.48,0.5,0.46,0.63
d_1,1.11,1.03,1.0,0.85,1.02,0.9,0.65,0.57,0.68,0.89,0.62,0.65,0.63,0.52,0.62,0.43
c_1,0.91,1.13,1.17,1.0,1.28,0.7,0.71,0.73,0.47,0.57,0.59,0.55,0.61,0.62,0.63,0.55
b_1,1.02,1.16,0.98,0.78,1.0,1.25,0.86,0.84,0.67,0.8,0.74,0.69,0.68,0.65,0.58,0.66
a_1,1.12,1.5,1.12,1.42,0.79,1.0,0.98,0.71,0.78,0.75,0.77,0.81,0.69,0.66,0.57,0.85
h_1,1.31,1.63,1.5,1.39,1.14,1.05,1.0,1.17,0.84,0.88,0.87,0.89,0.86,0.74,0.78,0.91
g_1,1.36,1.54,1.74,1.42,1.21,1.45,0.87,1.0,0.92,0.91,1.18,0.94,0.77,0.96,1.04,0.79
d_0,1.01,1.51,1.56,2.04,1.5,1.33,1.18,1.11,1.0,0.87,0.98,0.97,0.85,0.92,0.9,1.01
c_0,1.66,1.71,1.09,1.62,1.28,1.27,1.12,1.01,1.12,1.0,1.06,1.6,1.04,1.02,0.86,0.99
f_0,1.37,1.72,1.62,1.73,1.46,1.35,1.16,0.85,0.97,0.92,1.0,1.05,1.01,1.01,1.24,0.92
b_0,1.64,1.7,1.58,1.76,1.52,1.13,1.11,1.01,1.02,0.63,0.95,1.0,1.04,1.37,1.01,0.97
h_0,1.5,2.13,1.59,1.6,1.59,1.28,1.17,1.27,1.13,0.97,0.99,0.9,1.0,0.88,0.95,1.11
a_0,1.48,2.11,1.95,1.59,1.62,1.6,1.35,1.04,1.06,0.96,0.99,0.75,1.16,1.0,0.99,0.95
e_0,1.58,2.2,1.67,1.65,1.74,1.52,1.22,0.95,1.17,1.25,0.78,1.06,1.04,1.05,1.0,1.04
g_0,1.93,1.64,2.35,1.85,1.49,1.23,1.12,1.25,1.02,1.03,1.08,1.04,0.89,1.06,0.9,1.0
