,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,15.92,0.56,0.47,0.85,0.52,0.51,0.95,2.16,0.76,0.78,1.0,1.22,0.89,0.65,0.89,0.86
f_1,1.65,16.84,0.49,0.36,0.4,0.46,0.79,0.76,0.79,1.09,0.42,0.87,0.97,0.57,1.1,0.75
d_1,0.44,0.66,19.63,0.41,0.58,0.52,0.89,0.38,0.99,2.28,0.93,1.06,0.86,0.96,0.81,0.97
c_1,0.39,0.47,0.51,18.19,1.52,0.55,0.95,0.85,0.72,0.28,1.02,0.59,0.98,0.9,0.67,0.97
b_1,0.47,0.48,0.62,0.58,19.1,1.45,0.81,0.83,0.74,0.79,0.93,0.44,0.98,1.0,0.61,1.0
a_1,0.49,0.8,0.65,0.6,0.46,27.69,0.72,0.9,0.9,0.57,0.9,0.86,1.29,1.18,0.61,0.86
h_1,0.57,1.22,0.88,0.75,0.63,0.58,4.8,0.89,1.87,1.09,1.11,1.17,0.68,1.17,1.34,1.96
d_0,0.59,0.62,0.41,2.02,0.76,0.67,1.23,2.67,1.13,0.71,1.27,1.37,1.13,1.22,1.49,1.29
g_1,0.58,0.63,1.4,0.77,0.67,0.75,1.03,0.76,6.17,1.1,2.28,0.96,1.06,1.18,1.12,0.74
c_0,0.87,0.8,1.04,0.41,0.4,0.74,1.22,1.32,1.04,3.28,1.27,3.18,1.22,1.14,1.81,1.54
f_0,0.49,0.44,0.86,1.03,0.82,0.79,1.18,1.17,1.36,1.16,3.59,1.21,1.19,3.16,1.27,1.32
b_0,0.72,1.13,0.7,0.94,0.29,0.38,1.34,1.26,1.43,1.13,1.1,3.95,1.23,1.49,4.06,1.35
h_0,0.66,1.14,0.82,0.73,0.59,0.78,0.82,1.24,1.68,1.13,1.11,1.16,0.83,1.17,1.08,1.67
e_0,0.42,0.9,0.69,0.86,0.57,0.66,1.54,1.12,1.55,1.25,1.14,1.36,2.05,5.07,1.84,1.57
a_0,0.83,0.71,0.86,0.83,0.61,0.35,1.48,1.17,1.57,1.45,1.13,1.42,1.07,1.03,3.98,1.26
g_0,0.54,0.62,1.7,0.63,0.73,0.65,1.07,0.88,0.76,1.49,2.43,1.07,1.16,1.28,1.52,0.86
