,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.33,80.1,75.25,82.18,106.42,285.41,9792.76,14738.24,22284.06,20963.44,31611.36,29876.52,73941.43,107347.37,138257.56,251390.77
e_1,42.87,99.95,105.05,81.15,93.28,314.65,10170.74,22844.67,21485.35,21434.4,40855.55,47270.77,103919.16,120552.2,167618.87,240710.26
c_1,43.88,34.04,142.84,71.94,171.65,279.3,9021.88,10129.67,11775.99,15994.9,20331.59,36843.91,78638.9,141395.97,106377.57,174846.06
d_1,47.64,44.48,56.51,154.74,91.15,205.8,8032.13,8765.74,29471.48,15992.36,31348.77,36240.92,88411.83,113926.01,129493.13,186452.78
b_1,36.64,38.77,50.53,66.45,195.4,432.98,7444.23,10005.95,16977.74,15132.12,16389.64,33345.37,71912.08,115063.08,83944.72,174544.06
a_1,27.4,24.21,41.37,54.81,53.42,452.1,6819.34,8501.97,13727.91,15368.06,24252.28,27630.61,45931.49,88215.74,68585.57,132949.2
h_1,13.56,11.78,17.2,23.56,25.95,61.86,3794.16,3043.84,4979.59,6213.72,7884.9,10924.33,16051.89,37854.7,37241.75,71733.39
d_0,9.78,9.58,28.0,13.28,29.44,59.87,2160.85,4185.83,4354.08,4756.01,7618.5,9999.66,20418.02,36933.05,30075.42,59060.56
c_0,9.36,9.24,13.07,15.46,18.42,55.14,2190.77,2958.04,6079.89,4391.23,11447.23,9066.58,18043.54,27647.67,31987.22,50129.36
g_1,8.12,8.37,16.92,21.64,20.19,55.18,1583.13,2356.14,3654.2,6959.5,5964.87,10618.35,14771.7,29655.69,27581.44,26268.96
b_0,8.87,8.26,15.46,12.67,15.07,31.81,1896.74,2387.07,3336.05,4079.74,8628.42,6673.07,17245.84,25905.2,46881.65,39265.76
f_0,6.42,6.4,13.45,14.98,17.34,49.54,1573.44,2258.3,3200.31,3096.89,5780.29,10373.1,13708.58,42670.02,25494.54,34114.88
h_0,7.88,5.66,10.17,10.82,12.75,38.74,1062.67,1923.75,3053.2,3396.29,4797.66,5258.91,9725.87,16514.99,17963.02,38230.87
e_0,5.5,3.82,8.27,11.01,12.43,29.23,1126.44,1404.66,2473.63,2075.51,3379.97,4343.35,9047.38,24897.04,17345.57,29434.9
a_0,5.7,5.05,8.59,10.29,13.34,14.94,976.22,1819.96,2360.35,1940.0,2887.42,4286.39,11180.55,18031.63,25822.73,25296.38
g_0,3.73,4.24,7.24,12.63,9.63,26.68,829.62,1074.85,2170.3,2006.11,3252.88,5790.18,7068.17,14499.73,15001.75,18582.08
