,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.67,0.95,1.35,1.71,1.33,1.42,0.67,0.63,0.64,0.48,0.42,0.46,0.4,0.85,0.49,0.48
f_1,1.58,0.66,1.31,1.32,1.46,1.04,0.47,0.52,0.68,0.44,0.47,0.56,0.32,0.35,0.43,0.4
d_1,1.67,1.6,0.64,1.41,1.43,1.2,0.63,0.99,0.44,0.53,0.48,0.51,0.4,0.54,0.42,0.29
c_1,1.15,1.54,1.67,0.64,1.83,1.37,0.65,0.3,0.71,0.73,0.58,0.58,0.44,0.43,0.44,0.34
b_1,1.61,1.53,1.62,0.94,0.63,1.95,0.67,0.59,0.73,0.64,1.21,0.61,0.61,0.53,0.68,0.45
a_1,1.86,2.12,2.07,1.78,0.99,0.57,0.94,0.79,0.76,0.87,0.85,0.63,0.6,0.74,1.17,0.71
h_1,2.1,2.67,2.17,2.19,2.09,1.67,0.58,0.91,1.14,0.77,0.8,0.64,0.91,0.69,0.72,0.63
d_0,1.43,2.54,2.98,3.33,2.33,2.06,1.12,0.62,1.12,1.01,0.84,0.85,0.66,0.67,0.8,0.76
g_1,2.39,2.62,2.54,2.22,2.32,2.29,0.83,0.92,0.55,0.87,0.9,0.86,0.57,0.9,0.76,0.78
c_0,2.98,2.6,1.5,4.45,2.59,1.69,1.21,1.01,1.0,0.61,1.03,0.86,0.67,0.83,0.82,0.69
b_0,2.57,2.34,2.17,2.84,3.56,2.24,1.17,1.06,1.17,0.6,0.6,0.89,0.75,0.9,0.94,0.79
f_0,2.7,4.3,2.32,2.78,2.38,2.26,1.34,0.87,0.77,0.99,0.97,0.6,0.76,0.89,0.87,0.54
h_0,2.66,3.16,2.69,2.9,2.18,2.57,1.51,1.05,1.27,1.04,1.03,0.99,1.1,1.0,0.79,0.92
e_0,3.08,4.3,2.55,3.57,3.06,2.42,1.33,1.11,1.13,1.08,1.01,0.65,0.84,0.55,0.88,0.8
a_0,2.92,3.16,2.88,3.66,3.31,4.06,1.44,1.14,1.12,0.98,0.59,1.32,0.97,1.17,0.56,0.87
g_0,3.09,3.47,3.41,3.11,3.03,2.48,1.24,1.07,1.99,1.16,1.29,1.24,0.7,1.01,1.07,1.08
