,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.38,0.69,0.64,0.71,0.65,0.22,0.14,0.25,0.15,0.15,0.19,0.09,0.15,0.34,0.11
f_1,0.59,0.17,0.63,0.69,0.61,0.64,0.14,0.14,0.21,0.13,0.13,0.28,0.07,0.13,0.12,0.1
d_1,0.65,0.71,0.16,0.68,0.64,0.67,0.18,0.14,0.13,0.26,0.11,0.12,0.09,0.12,0.15,0.06
c_1,0.52,0.72,0.8,0.14,0.66,0.59,0.2,0.28,0.21,0.07,0.15,0.12,0.1,0.13,0.13,0.09
b_1,0.69,0.74,0.67,0.35,0.12,0.7,0.21,0.15,0.16,0.14,0.21,0.13,0.09,0.15,0.14,0.11
a_1,0.75,0.67,0.59,0.8,0.32,0.1,0.21,0.16,0.16,0.17,0.21,0.15,0.14,0.51,0.13,0.13
h_1,0.5,0.6,0.5,0.55,0.49,0.48,0.06,0.1,0.17,0.12,0.11,0.11,0.12,0.1,0.09,0.09
c_0,0.57,0.6,0.29,0.93,0.68,0.54,0.16,0.06,0.15,0.12,0.1,0.1,0.09,0.1,0.09,0.07
g_1,0.57,0.69,0.5,0.51,0.62,0.43,0.11,0.1,0.05,0.11,0.1,0.11,0.06,0.11,0.09,0.12
d_0,0.3,0.53,0.81,0.56,0.58,0.65,0.16,0.12,0.18,0.06,0.12,0.1,0.08,0.1,0.12,0.08
b_0,0.54,0.52,0.48,0.56,0.96,0.48,0.14,0.06,0.14,0.1,0.06,0.1,0.07,0.13,0.09,0.07
f_0,0.51,1.1,0.52,0.56,0.51,0.4,0.13,0.1,0.1,0.11,0.1,0.05,0.09,0.11,0.09,0.05
h_0,0.49,0.52,0.51,0.53,0.52,0.44,0.24,0.1,0.19,0.1,0.11,0.11,0.12,0.09,0.08,0.08
a_0,0.51,0.61,0.45,0.64,0.78,0.79,0.15,0.08,0.13,0.11,0.05,0.1,0.09,0.04,0.08,0.07
e_0,0.82,0.8,0.42,0.58,0.49,0.38,0.12,0.1,0.14,0.1,0.1,0.05,0.08,0.09,0.04,0.07
g_0,0.49,0.61,0.5,0.51,0.55,0.49,0.11,0.1,0.25,0.09,0.1,0.1,0.06,0.1,0.09,0.1
