,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.67,0.06,0.06,0.09,0.1,0.08,0.31,0.32,0.36,0.61,0.31,0.38,0.51,0.36,,0.36
f_1,0.13,5.8,0.07,0.07,0.11,0.06,0.31,0.27,0.38,0.51,0.29,,0.6,0.25,0.37,0.39
d_1,0.04,0.09,6.39,0.06,0.07,0.11,0.28,0.31,0.63,,0.37,0.31,0.74,0.41,0.31,0.7
c_1,0.05,0.07,0.07,6.82,0.14,0.07,0.35,0.33,,0.44,0.4,0.33,0.65,0.31,0.52,0.5
b_1,0.09,0.07,0.07,0.07,7.36,0.12,0.28,0.21,0.56,0.53,,0.33,0.44,0.3,0.43,0.44
a_1,0.07,0.06,0.08,0.08,0.06,10.42,0.37,0.21,0.42,0.35,0.44,0.3,0.76,,0.48,0.42
h_1,0.33,0.42,0.21,0.31,0.28,0.3,14.96,1.64,1.53,0.97,1.01,1.43,,1.46,,3.19
g_1,0.28,0.16,0.6,0.22,0.23,0.26,1.19,16.44,1.34,1.22,0.99,2.84,1.79,0.99,1.4,
c_0,0.35,0.49,0.51,,0.22,0.34,1.31,1.44,11.92,1.57,3.28,2.1,2.99,1.84,1.92,2.6
d_0,0.38,0.47,,0.73,0.33,0.24,1.39,1.22,1.29,12.02,1.81,2.03,4.13,1.64,1.97,3.1
b_0,0.35,0.3,0.51,0.33,,0.32,1.71,1.27,1.52,2.06,14.37,1.85,2.2,3.74,1.5,2.56
f_0,0.44,,0.27,0.42,0.37,0.4,1.27,0.93,2.1,1.64,2.06,14.93,2.86,1.87,3.37,3.29
h_0,0.46,1.01,0.47,0.63,0.39,0.47,,3.01,2.05,2.1,3.08,2.12,,3.52,4.02,6.48
a_0,0.55,0.42,0.38,0.33,0.28,,1.46,1.37,1.84,1.98,1.59,1.77,2.67,19.25,,3.53
e_0,,0.27,0.41,0.4,0.47,0.41,,1.22,2.3,2.96,1.28,1.35,3.33,,21.45,3.3
g_0,0.57,0.44,0.68,0.54,0.64,0.45,1.9,,3.33,2.46,3.84,3.78,4.37,2.57,2.38,
