,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.45,0.26,0.31,0.24,0.14,0.19,0.19,0.18,0.15,0.16,0.05,0.14,0.09,0.09,0.11
e_1,0.28,0.94,0.27,0.31,0.21,0.21,0.21,0.29,0.16,0.19,0.12,0.16,0.15,0.12,0.09,0.13
d_1,0.34,0.32,0.94,0.2,0.23,0.19,0.21,0.11,0.15,0.3,0.18,0.14,0.16,0.15,0.15,0.11
c_1,0.32,0.28,0.31,0.94,0.39,0.18,0.21,0.19,0.14,0.08,0.15,0.15,0.19,0.11,0.12,0.12
b_1,0.31,0.39,0.33,0.27,0.93,0.36,0.22,0.2,0.16,0.17,0.09,0.12,0.13,0.09,0.08,0.12
a_1,0.41,0.31,0.37,0.33,0.21,0.93,0.23,0.23,0.16,0.23,0.2,0.22,0.2,0.11,0.16,0.2
h_1,0.8,0.46,0.58,0.49,0.42,0.31,0.73,0.34,0.43,0.33,0.27,0.22,0.17,0.2,0.24,0.3
d_0,0.73,0.53,0.28,0.94,0.45,0.33,0.37,0.6,0.23,0.3,0.28,0.31,0.28,0.21,0.25,0.28
g_1,0.54,0.5,0.81,0.55,0.5,0.4,0.27,0.38,0.72,0.28,0.33,0.43,0.29,0.27,0.27,0.16
c_0,0.77,0.51,0.57,0.34,0.48,0.36,0.48,0.38,0.44,0.63,0.56,0.31,0.36,0.33,0.27,0.31
b_0,0.66,0.77,0.63,0.66,0.24,0.28,0.51,0.43,0.45,0.33,0.61,0.34,0.32,0.46,0.31,0.24
f_0,0.57,0.6,0.82,0.56,0.73,0.29,0.4,0.39,0.36,0.43,0.38,0.59,0.35,0.27,0.47,0.29
h_0,0.92,0.64,0.59,0.6,0.56,0.46,0.33,0.43,0.4,0.39,0.38,0.35,0.24,0.31,0.29,0.39
a_0,0.92,0.69,0.7,0.68,0.64,,0.54,0.43,0.43,0.43,0.33,0.38,0.34,0.58,0.35,0.33
e_0,0.93,0.33,0.65,0.67,0.74,0.35,0.53,0.53,0.39,0.48,0.45,0.32,0.41,0.23,0.59,0.48
g_0,0.66,0.62,1.08,0.6,0.68,0.36,0.43,0.37,0.35,0.37,0.39,0.53,0.27,0.29,0.28,0.23
