,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.88,0.17,0.08,0.08,0.06,0.04,0.07,0.08,0.06,0.08,0.01,0.07,0.03,0.07,0.04,0.07
e_1,0.08,0.88,0.07,0.08,0.08,0.05,0.08,0.16,0.06,0.08,0.07,0.07,0.05,0.08,0.01,0.05
d_1,0.08,0.12,0.88,0.06,0.05,0.05,0.07,0.02,0.05,0.15,0.07,0.08,0.04,0.06,0.05,0.06
c_1,0.09,0.06,0.07,0.88,0.14,0.04,0.09,0.1,0.04,0.01,0.07,0.06,0.05,0.07,0.05,0.07
b_1,0.11,0.07,0.09,0.08,0.87,0.09,0.08,0.07,0.06,0.06,0.08,0.01,0.05,0.06,0.06,0.05
a_1,0.1,0.08,0.08,0.08,0.08,0.87,0.09,0.09,0.06,0.07,0.06,0.08,,0.05,0.05,0.05
h_1,0.21,0.15,0.16,0.14,0.12,0.06,0.53,0.12,0.12,0.13,0.11,0.11,0.08,0.04,0.07,0.13
d_0,0.17,0.14,0.05,0.31,0.11,0.06,0.15,0.36,0.1,0.11,0.13,0.11,0.09,0.14,0.09,0.11
g_1,0.1,0.15,0.26,0.12,0.11,0.09,0.14,0.12,0.52,0.11,0.14,0.14,0.08,0.14,0.09,0.04
c_0,0.23,0.13,0.14,0.04,0.12,0.07,0.18,0.12,0.15,0.38,0.15,0.24,0.13,0.14,0.08,0.1
f_0,0.07,0.14,0.17,0.18,0.11,0.07,0.17,0.16,0.12,0.14,0.37,0.15,0.12,0.17,0.21,0.11
b_0,0.2,0.14,0.21,0.14,0.05,0.04,0.16,0.12,0.1,0.16,0.13,0.38,0.22,0.14,0.09,0.11
a_0,0.19,0.18,0.18,0.13,0.11,,0.16,0.11,0.11,0.11,0.14,0.11,0.33,0.11,0.1,0.11
h_0,0.2,0.13,0.19,0.16,0.1,0.07,0.05,0.13,0.13,0.13,0.12,0.11,0.09,0.04,0.09,0.13
e_0,0.15,0.09,0.15,0.19,0.16,0.1,0.14,0.13,0.12,0.13,0.15,0.12,0.1,0.14,0.35,0.09
g_0,0.14,0.14,0.27,0.15,0.09,0.07,0.13,0.11,0.05,0.11,0.2,0.1,0.09,0.12,0.11,
