,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.43,1.16,0.55,0.62,0.58,0.54,0.85,0.81,0.84,0.96,0.98,0.45,0.95,0.87,0.69,0.8
e_1,0.76,2.58,0.62,0.75,0.55,0.55,0.9,1.02,0.95,1.72,1.04,0.95,0.97,1.01,0.5,0.85
d_1,0.7,0.61,2.68,0.63,0.56,0.67,0.89,0.89,1.62,0.43,1.1,0.96,0.96,0.96,1.0,1.03
c_1,0.66,0.52,0.59,2.89,1.28,0.58,0.9,0.84,0.38,0.76,0.77,0.96,0.93,0.92,0.92,1.01
b_1,0.67,0.61,0.73,0.6,3.16,1.19,0.97,0.87,0.91,0.78,0.49,1.1,0.9,0.71,1.03,0.84
a_1,0.61,0.57,0.81,0.76,0.68,4.68,0.93,0.8,0.87,0.82,0.73,0.87,0.91,0.48,1.03,1.26
h_1,0.95,0.77,0.86,0.81,0.68,0.76,2.51,1.33,0.85,1.04,1.26,1.21,0.88,1.19,1.08,1.57
g_1,0.59,0.74,1.23,0.77,0.64,0.81,1.06,3.24,1.26,1.08,1.08,1.82,1.32,1.19,1.39,0.63
c_0,1.0,0.79,0.83,0.48,0.61,0.83,1.18,1.04,2.16,1.21,2.24,1.19,1.17,1.43,1.35,1.41
d_0,0.81,0.75,0.53,1.52,0.76,0.76,1.04,1.17,0.74,2.16,1.04,1.25,1.2,1.15,1.27,0.96
b_0,0.83,0.8,0.87,0.95,0.47,0.55,1.31,1.16,1.09,1.3,2.55,1.2,1.42,2.42,1.53,1.36
f_0,0.65,0.7,0.98,0.89,0.79,0.78,1.17,1.14,1.11,1.06,1.28,2.59,1.31,1.11,2.52,1.26
h_0,1.03,0.73,0.98,0.79,0.8,0.68,0.68,1.33,1.13,1.09,0.97,1.23,0.66,1.07,1.29,1.4
a_0,0.88,0.82,0.93,0.9,0.74,0.34,1.15,1.26,1.21,1.16,1.11,1.19,1.57,2.9,1.31,1.32
e_0,1.11,0.44,0.98,0.8,0.81,0.53,1.34,1.11,1.24,1.07,1.22,1.23,1.52,1.29,3.43,1.14
g_0,0.73,0.65,1.24,0.82,0.91,0.74,1.02,0.58,1.07,0.98,1.05,1.87,1.17,1.37,1.28,0.84
