,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,1.35,1.61,2.05,4.16,23.13,30.77,46.54,34.94,49.43,56.88,82.13,104.15,169.23,173.84
f_1,1.2,1.0,1.15,1.34,1.62,4.07,14.75,27.0,26.65,29.14,44.13,38.88,62.65,88.47,107.96,126.54
d_1,0.74,0.86,1.0,0.97,1.25,2.98,15.76,17.39,23.2,34.88,33.16,34.47,62.78,74.17,76.12,102.45
c_1,0.62,0.75,1.02,1.0,2.18,2.6,15.07,20.23,16.07,21.83,25.03,32.41,58.61,63.3,91.82,107.59
b_1,0.49,0.61,0.79,0.46,1.0,2.99,10.51,16.19,12.56,20.25,25.89,24.11,42.81,51.43,62.49,73.69
a_1,0.24,0.25,0.33,0.39,0.34,1.0,5.99,7.24,7.25,8.87,13.62,12.5,21.98,20.28,32.93,34.32
h_1,0.04,0.07,0.07,0.07,0.1,0.17,1.0,1.59,1.45,1.62,2.24,2.12,4.45,5.4,7.38,6.11
g_1,0.03,0.03,0.06,0.05,0.07,0.15,0.63,1.0,1.03,0.97,1.55,1.9,2.57,3.63,4.67,4.96
d_0,0.02,0.04,0.04,0.07,0.08,0.13,0.67,0.97,1.0,1.01,1.54,1.41,3.31,3.32,5.41,4.41
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.61,1.02,0.97,1.0,2.14,1.19,2.73,2.8,4.18,4.65
b_0,0.02,0.02,0.03,0.05,0.04,0.07,0.45,0.64,0.6,0.48,1.0,0.97,1.7,3.04,2.59,2.93
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.48,0.53,0.7,0.81,1.02,1.0,1.85,2.38,2.57,4.24
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.23,0.4,0.3,0.36,0.6,0.52,1.0,1.11,2.06,1.5
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.28,0.31,0.36,0.35,0.44,0.91,1.0,1.25,1.32
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.21,0.19,0.24,0.37,0.4,0.49,0.81,1.0,1.02
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.19,0.22,0.22,0.36,0.24,0.65,0.8,0.84,1.0
