,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.49,0.14,0.13,0.16,0.17,0.14,0.19,0.17,0.33,0.19,0.22,0.16,0.21,0.16,,0.23
f_1,0.31,1.49,0.18,0.18,0.14,0.12,0.21,0.16,0.21,0.15,,0.18,0.2,0.14,0.1,0.19
d_1,0.18,0.14,1.55,0.19,0.16,0.15,0.21,0.13,,0.43,0.17,0.18,0.22,0.18,0.15,0.14
c_1,0.17,0.19,0.13,1.55,0.24,0.13,0.23,0.16,0.21,,0.19,0.18,0.25,,0.18,0.17
b_1,0.17,0.19,0.17,0.15,1.59,0.24,0.19,0.24,0.17,0.26,0.23,,0.21,0.14,0.14,0.21
a_1,0.2,0.23,0.15,0.12,0.11,1.74,0.19,0.17,0.19,0.24,,0.22,0.31,,0.17,0.27
h_1,0.39,0.48,0.41,0.31,0.44,0.31,1.61,0.55,0.46,0.37,0.38,0.43,,0.41,0.31,0.55
g_1,0.33,0.45,0.64,0.38,0.25,0.35,0.46,1.71,0.41,0.4,0.7,0.47,0.43,0.39,0.3,
d_0,0.4,0.42,,0.64,0.58,0.34,0.55,0.49,1.44,0.4,0.44,0.59,0.61,0.5,0.56,0.44
c_0,0.45,0.59,0.3,,0.26,0.48,0.69,0.59,0.61,1.46,0.55,0.93,0.5,0.47,0.42,0.49
f_0,0.38,,0.54,0.48,0.37,,0.57,0.45,0.6,0.58,1.49,0.55,0.91,0.36,0.86,0.39
b_0,0.48,0.61,0.46,0.46,,0.29,0.66,0.48,0.62,0.39,0.41,1.46,0.58,0.81,0.41,0.66
h_0,0.63,0.71,0.57,0.53,0.67,0.41,,0.81,0.75,0.69,0.56,0.75,,0.52,0.71,0.8
a_0,0.56,0.5,0.51,,0.47,,0.6,0.47,0.52,0.53,0.79,0.44,0.83,1.63,,0.68
e_0,,0.6,0.53,0.54,0.54,0.49,0.67,0.69,0.6,0.61,0.39,0.5,0.55,,1.62,0.7
g_0,0.53,0.51,0.93,0.72,0.54,0.36,0.6,,0.67,0.81,1.15,0.75,0.64,0.47,0.67,
