,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.99,1.45,1.39,2.45,14.25,23.19,28.91,29.43,33.51,42.84,52.23,65.55,79.17,97.11
e_1,0.8,1.0,1.0,1.64,1.4,2.55,15.79,25.08,27.8,35.31,36.09,52.72,58.73,77.88,93.35,97.19
d_1,1.06,0.99,1.0,1.11,1.22,2.65,14.86,31.31,21.55,27.01,39.35,44.11,55.81,74.36,87.66,75.52
c_1,0.7,0.61,0.88,1.0,1.43,1.84,11.57,16.14,20.88,14.41,21.91,32.98,42.81,50.72,64.41,68.51
b_1,0.73,0.69,0.81,0.69,1.0,2.93,12.77,20.38,18.63,19.12,24.71,32.12,43.66,44.17,59.45,72.33
a_1,0.41,0.38,0.37,0.52,0.36,1.0,6.84,10.36,10.77,12.56,16.75,18.4,24.61,30.3,32.66,36.81
h_1,0.07,0.06,0.07,0.09,0.08,0.15,1.0,1.6,1.86,1.63,2.24,2.7,3.81,4.76,5.33,6.53
c_0,0.04,0.04,0.03,0.06,0.05,0.09,0.61,1.0,1.07,1.26,1.81,1.74,2.37,3.45,3.45,3.37
g_1,0.03,0.03,0.05,0.05,0.05,0.1,0.52,0.96,1.0,0.96,1.31,2.04,1.99,2.66,3.05,3.27
d_0,0.03,0.03,0.04,0.07,0.05,0.08,0.64,0.84,1.07,1.0,1.29,1.59,2.25,2.74,3.16,3.54
b_0,0.03,0.03,0.03,0.04,0.04,0.06,0.46,0.57,0.77,0.76,1.0,1.22,1.75,2.7,2.44,2.35
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.37,0.6,0.49,0.63,0.81,1.0,1.37,1.92,2.5,1.61
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.27,0.43,0.52,0.45,0.58,0.73,1.0,1.12,1.49,1.71
a_0,0.02,0.01,0.01,0.02,0.02,0.03,0.21,0.32,0.38,0.37,0.4,0.55,0.85,1.0,1.26,1.16
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.29,0.33,0.3,0.43,0.4,0.68,0.76,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.29,0.3,0.29,0.43,0.63,0.59,0.85,1.07,1.0
