,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,1.15,1.53,2.07,3.56,16.44,30.4,34.03,31.5,53.08,64.25,81.09,89.9,94.52,161.84
e_1,0.8,1.0,1.07,1.56,1.8,3.58,19.78,38.19,31.45,32.45,50.47,81.11,99.79,114.78,110.13,163.4
d_1,0.89,0.88,1.0,0.99,1.38,2.89,14.42,24.19,21.08,33.97,45.39,52.08,81.54,85.44,90.1,98.13
c_1,0.67,0.65,1.03,1.0,1.8,2.61,14.06,15.91,22.83,22.11,35.1,49.97,70.19,77.25,72.16,111.47
b_1,0.48,0.55,0.72,0.56,1.0,2.8,10.52,13.55,16.64,17.57,26.2,36.5,48.4,51.5,51.43,77.81
a_1,0.28,0.27,0.34,0.39,0.36,1.0,5.42,8.22,9.02,9.3,18.95,21.21,27.12,34.37,35.16,43.28
h_1,0.06,0.05,0.07,0.07,0.1,0.18,1.0,1.54,2.05,1.75,2.71,3.47,5.02,5.88,5.42,8.94
d_0,0.03,0.03,0.04,0.06,0.08,0.12,0.65,1.0,1.08,0.98,1.67,2.56,3.34,3.92,3.7,5.63
g_1,0.03,0.03,0.05,0.04,0.06,0.11,0.5,0.92,1.0,1.02,1.78,2.58,2.82,3.66,3.51,4.58
c_0,0.03,0.03,0.03,0.04,0.06,0.1,0.59,1.0,1.02,1.0,2.06,2.18,2.93,3.26,3.54,4.68
b_0,0.02,0.02,0.02,0.03,0.04,0.05,0.38,0.57,0.59,0.48,1.0,1.33,1.8,1.93,2.66,2.7
f_0,0.02,0.01,0.02,0.02,0.03,0.05,0.28,0.38,0.38,0.47,0.77,1.0,1.45,1.95,1.52,1.87
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.29,0.36,0.34,0.55,0.68,1.0,1.13,1.07,1.61
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.28,0.29,0.53,0.51,0.87,1.0,0.98,1.56
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.28,0.29,0.29,0.39,0.66,0.92,1.03,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.18,0.23,0.22,0.37,0.55,0.6,0.66,0.79,1.0
