,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.22,0.25,0.37,0.19,0.2,0.16,0.41,0.4,0.51,0.36,0.52,0.1,0.4,0.57,0.33,0.42
c_1,0.23,2.32,0.21,0.44,0.2,0.17,0.32,0.62,0.07,0.38,0.25,0.34,0.27,0.61,0.32,0.54
e_1,0.27,0.26,2.34,0.21,0.16,0.15,0.49,0.94,0.48,0.33,0.5,0.35,0.34,0.55,0.06,0.52
b_1,0.26,0.23,0.21,2.41,0.22,0.3,0.38,0.4,0.4,0.4,0.1,0.45,0.33,0.45,0.45,0.45
d_1,0.22,0.11,0.24,0.22,2.47,0.2,0.38,0.16,0.94,0.36,0.55,0.6,0.5,0.58,0.4,0.49
a_1,0.26,0.21,0.19,0.2,0.31,2.97,0.45,0.38,0.45,0.32,0.46,0.49,0.16,0.47,0.41,0.57
h_1,0.53,0.44,0.4,0.27,0.41,0.26,2.91,0.8,0.78,0.76,0.8,0.71,0.59,0.46,0.47,1.1
d_0,0.44,0.88,0.37,0.3,0.12,0.25,0.64,2.17,0.63,0.54,0.58,0.77,0.56,1.07,0.73,0.89
c_0,0.55,0.2,0.39,0.3,0.37,0.35,0.84,0.83,2.38,0.66,1.6,0.85,0.93,1.11,0.69,0.93
g_1,0.37,0.44,0.33,0.32,0.63,0.27,0.47,0.75,0.81,3.18,0.75,1.05,0.65,0.97,0.58,0.34
b_0,0.47,0.46,0.38,0.16,0.45,0.25,0.63,1.1,0.91,0.68,2.52,0.86,1.45,1.11,0.71,1.25
f_0,0.17,0.54,0.35,0.38,0.4,0.32,0.8,1.03,0.93,0.69,1.01,2.61,0.58,0.96,1.22,0.91
a_0,0.6,0.32,0.46,0.34,0.38,0.1,0.67,0.88,0.79,0.56,0.74,0.84,2.84,1.24,0.77,0.75
h_0,0.64,0.46,0.31,0.36,0.32,0.29,0.19,1.03,0.66,0.66,0.8,0.76,0.66,0.38,0.67,0.94
e_0,0.5,0.41,0.1,0.43,0.49,0.36,0.91,0.77,0.86,0.71,0.72,0.89,0.55,1.07,2.87,1.33
g_0,0.37,0.37,0.35,0.36,0.61,0.31,0.77,0.9,0.78,0.22,0.73,1.35,0.61,1.06,0.83,0.41
