,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.01,0.06,0.09,0.1,0.12,0.18,0.17,0.33,0.24,0.27,0.26,0.28,0.39,0.33,,0.43
f_1,0.12,0.01,0.1,0.1,0.1,0.15,0.13,0.21,0.16,0.23,,0.3,0.26,0.2,0.3,0.31
c_1,0.08,0.06,0.01,0.08,0.08,0.11,0.15,0.17,0.09,,0.22,0.17,0.29,0.21,0.26,0.23
d_1,0.06,0.05,0.06,0.01,0.06,0.13,0.13,0.1,,0.15,0.23,0.15,0.22,0.16,0.27,0.16
b_1,0.04,0.04,0.04,0.06,0.01,0.1,0.11,0.14,0.1,0.16,0.17,,,0.19,0.17,0.26
a_1,0.01,0.01,0.01,0.01,0.01,,0.02,,0.03,0.04,0.03,0.03,,0.04,,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
