,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,0.88,0.98,0.95,0.98,0.86,1.15,0.85,0.95,0.97,0.85,0.98,0.88,0.74,0.96
e_1,0.81,1.0,1.01,1.21,0.96,1.01,1.03,1.16,1.0,1.41,1.1,1.1,1.04,1.07,1.19,1.08
d_1,1.14,1.0,1.0,1.09,0.87,0.91,0.99,0.82,1.29,0.97,1.01,0.91,0.94,0.91,1.0,0.83
c_1,1.02,0.84,0.92,1.0,1.53,0.87,1.02,0.98,0.97,0.68,0.89,0.98,0.94,1.03,0.94,1.15
b_1,1.04,1.03,1.15,0.66,1.0,1.34,1.18,1.09,1.12,1.02,1.03,1.07,0.99,1.01,1.07,0.92
a_1,1.04,1.0,1.1,1.15,0.74,1.0,1.07,0.91,0.94,0.98,1.16,0.99,1.52,1.11,1.23,1.2
h_1,1.15,0.98,0.98,0.99,0.89,0.93,1.0,1.13,0.9,0.97,0.99,1.01,0.97,1.24,0.87,1.2
g_1,0.9,0.88,1.22,0.99,0.92,1.07,0.89,1.0,1.09,1.0,0.99,1.21,0.9,0.89,1.19,0.98
c_0,1.15,0.98,0.76,1.02,0.9,1.03,1.11,0.91,1.0,1.2,1.43,1.05,1.1,1.05,1.04,1.06
d_0,0.97,0.7,1.11,1.46,0.99,1.1,1.04,1.05,0.8,1.0,0.9,1.09,1.03,1.0,1.06,0.98
b_0,0.98,0.93,0.96,1.16,0.98,0.91,1.05,1.04,0.7,1.13,1.0,1.0,1.41,1.25,1.2,1.06
f_0,1.2,0.93,1.11,1.01,0.9,0.98,1.04,0.8,0.92,0.88,1.0,1.0,0.96,1.06,1.36,0.81
a_0,1.01,1.0,1.03,1.13,1.01,0.7,1.04,1.07,0.94,1.03,0.66,1.0,1.0,1.21,1.19,0.95
h_0,1.11,0.91,1.07,1.02,0.97,0.93,0.79,1.12,0.97,0.98,0.8,0.93,0.83,1.0,0.85,1.15
e_0,1.32,0.95,1.01,1.03,0.99,0.74,1.09,0.79,1.0,0.93,0.93,0.76,0.89,1.16,1.0,0.98
g_0,1.02,0.91,1.19,0.94,1.14,0.86,0.84,0.96,1.0,0.99,0.94,1.22,1.02,0.88,1.03,1.0
