,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.41,0.64,0.58,0.6,0.51,0.5,0.26,0.35,0.26,0.28,0.27,0.35,0.2,0.23,0.27,0.26
e_1,0.42,0.4,0.62,0.69,0.64,0.58,0.33,0.36,0.26,0.32,0.27,0.35,0.23,0.31,0.27,0.25
d_1,0.64,0.62,0.4,0.59,0.6,0.55,0.31,0.24,0.3,0.31,0.27,0.24,0.21,0.26,0.23,0.16
c_1,0.59,0.47,0.7,0.37,0.68,0.59,0.32,0.32,0.28,0.17,0.25,0.25,0.2,0.28,0.26,0.22
b_1,0.7,0.61,0.59,0.39,0.36,0.64,0.31,0.32,0.34,0.27,0.31,0.26,0.26,0.28,0.29,0.23
a_1,0.64,0.66,0.6,0.57,0.41,0.29,0.36,0.34,0.29,0.3,0.33,0.27,0.24,0.27,0.3,0.24
h_1,0.61,0.56,0.58,0.56,0.56,0.47,0.23,0.31,0.24,0.25,0.24,0.27,0.25,0.25,0.25,0.24
g_1,0.56,0.52,0.63,0.55,0.58,0.57,0.27,0.22,0.25,0.26,0.24,0.27,0.17,0.23,0.25,0.21
c_0,0.65,0.65,0.4,0.77,0.5,0.51,0.34,0.32,0.22,0.37,0.31,0.27,0.23,0.26,0.26,0.21
d_0,0.56,0.4,0.68,0.68,0.62,0.59,0.34,0.34,0.22,0.22,0.25,0.26,0.22,0.29,0.29,0.26
b_0,0.57,0.53,0.51,0.72,0.61,0.51,0.33,0.3,0.17,0.29,0.21,0.25,0.23,0.26,0.29,0.2
f_0,0.59,0.52,0.59,0.55,0.55,0.6,0.3,0.23,0.25,0.27,0.25,0.21,0.23,0.35,0.25,0.16
h_0,0.56,0.56,0.59,0.59,0.53,0.52,0.33,0.34,0.24,0.26,0.23,0.24,0.24,0.21,0.21,0.21
e_0,0.74,0.57,0.52,0.6,0.57,0.51,0.34,0.28,0.24,0.25,0.23,0.15,0.23,0.18,0.24,0.17
a_0,0.61,0.55,0.59,0.63,0.58,0.57,0.27,0.26,0.23,0.27,0.17,0.24,0.24,0.23,0.18,0.21
g_0,0.57,0.56,0.63,0.56,0.57,0.54,0.23,0.33,0.24,0.23,0.25,0.26,0.2,0.25,0.22,0.24
